       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    3.765000    0.000000   -0.000000  -84.600000  -84.600000    0.000000    0.000000    7.009025   -0.000000   -0.000000    5.000000
   1.000000    4.495000    0.730000   -0.000000  178.200000  178.200000    0.000000  360.000000  -14.763692   -0.000000   -0.232200   -5.000000
   2.000000    4.595000    0.100000  111.093750  145.800000   34.706250    3.470625 -1434.937500   -2.875378   -0.194032    0.925535   -2.143876
   3.000000    4.685000    0.090000  119.355469  113.400000   -5.955469    2.934633 -451.796875    0.493405   -0.164067    0.291409    0.620747
   4.000000    4.765000    0.080000  113.291016   84.600000  -28.691016    0.639352 -284.194336    2.377022   -0.035744    0.183305    2.524583
   5.000000    4.790000    0.025000   98.173828   75.600000  -22.573828    0.075006  244.687500    1.870219   -0.004193   -0.157823    1.708202
   6.000000    4.795000    0.005000   90.878906   73.800000  -17.078906   -0.010389 1098.984375    1.414970    0.000581   -0.708845    0.706706
   7.000000    4.800000    0.005000   86.484375   72.000000  -14.484375   -0.082811  518.906250    1.200016    0.004630   -0.334695    0.869951
   8.000000    4.810000    0.010000   72.246094   68.400000   -3.846094   -0.121271 1063.828125    0.318645    0.006780   -0.686169   -0.360744
   9.000000    4.815000    0.005000   66.884766   66.600000   -0.284766   -0.122695  712.265625    0.023593    0.006860   -0.459411   -0.428959
  10.000000    4.820000    0.005000   62.314453   64.800000    2.485547   -0.110268  554.062500   -0.205925    0.006165   -0.357370   -0.557131
  11.000000    4.825000    0.005000   58.623047   63.000000    4.376953   -0.088383  378.281250   -0.362626    0.004941   -0.243991   -0.601676
  12.000000    4.830000    0.005000   57.216797   61.200000    3.983203   -0.068467  -78.750000   -0.330004    0.003828    0.050794   -0.275383
  13.000000    4.835000    0.005000   56.865234   59.400000    2.534766   -0.055793 -289.687500   -0.210003    0.003119    0.186848   -0.020035
  14.000000    4.840000    0.005000   57.216797   57.600000    0.383203   -0.053877 -430.312500   -0.031748    0.003012    0.277552    0.248816
  15.000000    4.845000    0.005000   57.480469   55.800000   -1.680469   -0.062279 -412.734375    0.139225    0.003482    0.266214    0.408921
  16.000000    4.850000    0.005000   57.744141   54.000000   -3.744141   -0.081000 -412.734375    0.310198    0.004528    0.266214    0.580940
  17.000000    4.855000    0.005000   57.832031   52.200000   -5.632031   -0.109160 -377.578125    0.466608    0.006103    0.243538    0.716249
  18.000000    4.865000    0.010000   54.843750   48.600000   -6.243750   -0.171598  -61.171875    0.517288    0.009594    0.039456    0.566338
  19.000000    4.870000    0.005000   52.119141   46.800000   -5.319141   -0.198193  184.921875    0.440685    0.011080   -0.119275    0.332491
  20.000000    4.875000    0.005000   48.339844   45.000000   -3.339844   -0.214893  395.859375    0.276703    0.012014   -0.255329    0.033387
  21.000000    4.880000    0.005000   44.472656   43.200000   -1.272656   -0.221256  413.437500    0.105438    0.012370   -0.266667   -0.148859
  22.000000    4.885000    0.005000   41.835938   41.400000   -0.435937   -0.223436  167.343750    0.036117    0.012492   -0.107937   -0.059328
  23.000000    4.890000    0.005000   39.638672   39.600000   -0.038672   -0.223629   79.453125    0.003204    0.012502   -0.051247   -0.035541
  24.000000    4.895000    0.005000   38.496094   37.800000   -0.696094   -0.227109 -131.484375    0.057671    0.012697    0.084807    0.155175
  25.000000    4.900000    0.005000   38.408203   36.000000   -2.408203   -0.239150 -342.421875    0.199517    0.013370    0.220862    0.433750
  26.000000    4.905000    0.005000   38.847656   34.200000   -4.647656   -0.262389 -447.890625    0.385054    0.014669    0.288889    0.688612
  27.000000    4.910000    0.005000   39.375000   32.400000   -6.975000   -0.297264 -465.468750    0.577872    0.016619    0.300227    0.894718
  28.000000    4.915000    0.005000   39.814453   30.600000   -9.214453   -0.343336 -447.890625    0.763408    0.019195    0.288889    1.071493
  29.000000    4.925000    0.010000   38.144531   27.000000  -11.144531   -0.454781 -193.007812    0.923313    0.025425    0.124490    1.073229
  30.000000    4.930000    0.005000   35.419922   25.200000  -10.219922   -0.505881  184.921875    0.846710    0.028282   -0.119275    0.755718
  31.000000    4.935000    0.005000   31.113281   23.400000   -7.713281   -0.544447  501.328125    0.639038    0.030438   -0.323357    0.346119
  32.000000    4.940000    0.005000   25.751953   21.600000   -4.151953   -0.565207  712.265625    0.343985    0.031599   -0.459411   -0.083827
  33.000000    4.945000    0.005000   20.742188   19.800000   -0.942188   -0.569918  641.953125    0.078059    0.031862   -0.414060   -0.304138
  34.000000    4.950000    0.005000   17.138672   18.000000    0.861328   -0.565611  360.703125   -0.071360    0.031622   -0.232654   -0.272392
  35.000000    4.955000    0.005000   14.589844   16.200000    1.610156   -0.557561  149.765625   -0.133400    0.031172   -0.096599   -0.198827
  36.000000    4.960000    0.005000   13.007812   14.400000    1.392188   -0.550600  -43.593750   -0.115341    0.030782    0.028118   -0.056441
  37.000000    4.965000    0.005000   11.777344   12.600000    0.822656   -0.546486 -113.906250   -0.068156    0.030552    0.073470    0.035866
  38.000000    4.970000    0.005000   10.898438   10.800000   -0.098437   -0.546979 -184.218750    0.008155    0.030580    0.118821    0.157556
  39.000000    4.980000    0.010000   10.371094    7.200000   -3.171094   -0.578689 -307.265625    0.262722    0.032353    0.198186    0.493261
  40.000000    4.985000    0.005000   10.458984    5.400000   -5.058984   -0.603984 -377.578125    0.419132    0.033767    0.243538    0.696437
  41.000000    4.990000    0.005000   10.546875    3.600000   -6.946875   -0.638719 -377.578125    0.575542    0.035709    0.243538    0.854788
  42.000000    4.995000    0.005000   10.722656    1.800000   -8.922656   -0.683332 -395.156250    0.739233    0.038203    0.254876    1.032312
  43.000000    5.000000    0.005000    9.228516    0.000000   -9.228516   -0.729475  -61.171875    0.764573    0.040783    0.039456    0.844812
  44.000000    5.005000    0.005000    7.207031   -1.800000   -9.007031   -0.774510   44.296875    0.746224    0.043301   -0.028571    0.760953
  45.000000    5.010000    0.005000    3.603516   -3.600000   -7.203516   -0.810527  360.703125    0.596804    0.045314   -0.232654    0.409465
  46.000000    5.015000    0.005000   -0.087891   -5.400000   -5.312109   -0.837088  378.281250    0.440103    0.046799   -0.243991    0.242911
  47.000000    5.020000    0.005000   -5.185547   -7.200000   -2.014453   -0.847160  659.531250    0.166895    0.047362   -0.425398   -0.211140
  48.000000    5.025000    0.005000   -8.349609   -9.000000   -0.650391   -0.850412  272.812500    0.053884    0.047544   -0.175964   -0.074536
  49.000000    5.035000    0.010000  -12.832031  -12.600000    0.232031   -0.848092   88.242188   -0.019224    0.047414   -0.056916   -0.028725
  50.000000    5.040000    0.005000  -13.623047  -14.400000   -0.776953   -0.851977 -201.796875    0.064370    0.047631    0.130159    0.242160
