       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    1.085000    0.000000   -0.000000  -30.600000  -30.600000    0.000000    0.000000    2.535179   -0.000000   -0.000000    2.535179
   1.000000    1.095000    0.010000   -0.000000  -34.200000  -34.200000   -0.342000 -360.000000    2.833436    0.019120    0.232200    3.084756
   2.000000    1.100000    0.005000   -1.054688  -36.000000  -34.945313   -0.516727 -149.062500    2.895184    0.028889    0.096145    3.020218
   3.000000    1.105000    0.005000   -7.558594  -37.800000  -30.241406   -0.667934  940.781250    2.505470    0.037342   -0.606804    1.936009
   4.000000    1.110000    0.005000  -17.402344  -39.600000  -22.197656   -0.778922 1608.750000    1.839054    0.043547   -1.037644    0.844957
   5.000000    1.115000    0.005000  -30.410156  -41.400000  -10.989844   -0.833871 2241.562500    0.910498    0.046619   -1.445808   -0.488691
   6.000000    1.120000    0.005000  -45.527344  -43.200000    2.327344   -0.822234 2663.437500   -0.192818    0.045969   -1.717917   -1.864767
   7.000000    1.125000    0.005000  -59.238281  -45.000000   14.238281   -0.751043 2382.187500   -1.179627    0.041989   -1.536511   -2.674150
   8.000000    1.130000    0.005000  -69.785156  -46.800000   22.985156   -0.636117 1749.375000   -1.904297    0.035563   -1.128347   -2.997081
   9.000000    1.140000    0.010000  -73.652344  -50.400000   23.252344   -0.403594   26.718750   -1.926433    0.022564   -0.017234   -1.921103
  10.000000    1.140000    0.000000  -73.652344  -50.400000   23.252344   -0.403594    0.000000   -1.926433    0.022564   -0.000000   -1.903870
  11.000000    1.145000    0.005000  -66.972656  -52.200000   14.772656   -0.329730 -1695.937500   -1.223900    0.018434    1.093880   -0.111586
  12.000000    1.150000    0.005000  -55.986328  -54.000000    1.986328   -0.319799 -2557.265625   -0.164565    0.017879    1.649436    1.502750
  13.000000    1.155000    0.005000  -45.615234  -55.800000  -10.184766   -0.370723 -2434.218750    0.843798    0.020726    1.570071    2.434595
  14.000000    1.160000    0.005000  -36.474609  -57.600000  -21.125391   -0.476350 -2188.125000    1.750217    0.026631    1.411341    3.188189
  15.000000    1.165000    0.005000  -31.464844  -59.400000  -27.935156   -0.616025 -1361.953125    2.314400    0.034440    0.878460    3.227300
  16.000000    1.170000    0.005000  -32.167969  -61.200000  -29.032031   -0.761186 -219.375000    2.405275    0.042556    0.141497    2.589327
  17.000000    1.175000    0.005000  -38.671875  -63.000000  -24.328125   -0.882826  940.781250    2.015561    0.049356   -0.606804    1.458113
  18.000000    1.180000    0.005000  -50.625000  -64.800000  -14.175000   -0.953701 2030.625000    1.174385    0.053319   -1.309753   -0.082050
  19.000000    1.185000    0.005000  -64.335938  -66.600000   -2.264063   -0.965021 2382.187500    0.187575    0.053951   -1.536511   -1.294984
  20.000000    1.190000    0.005000  -79.892578  -68.400000   11.492578   -0.907559 2751.328125   -0.952149    0.050739   -1.774607   -2.676016
  21.000000    1.195000    0.005000  -92.812500  -70.200000   22.612500   -0.794496 2223.984375   -1.873423    0.044418   -1.434470   -3.263475
  22.000000    1.200000    0.005000 -100.986328  -72.000000   28.986328   -0.649564 1274.765625   -2.401488    0.036315   -0.822224   -3.187397
  23.000000    1.205000    0.005000 -103.095703  -73.800000   29.295703   -0.503086   61.875000   -2.427120    0.028126   -0.039909   -2.438903
