       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    1.006050    1.006032   -0.000000    0.000000    0.000000    0.000000    0.000000   -0.000000   -0.000000   -0.000000   -0.000000
   1.000000    1.015159    0.009110   -0.000000   -1.800000   -1.800000   -0.009000 -360.000000    0.149128    0.000503    0.232200    0.381831
   2.000000    1.020167    0.005008   -0.000000   -3.600000   -3.600000   -0.027000 -360.000000    0.298256    0.001509    0.232200    0.531966
   3.000000    1.025142    0.004975   -0.175781   -5.400000   -5.224219   -0.053121 -324.843750    0.432821    0.002970    0.209524    0.645315
   4.000000    1.030132    0.004990   -0.878906   -7.200000   -6.321094   -0.084727 -219.375000    0.523696    0.004737    0.141497    0.669930
   5.000000    1.035166    0.005034   -2.109375   -9.000000   -6.890625   -0.119180 -113.906250    0.570881    0.006663    0.073470    0.651014
   6.000000    1.040166    0.005000   -3.691406  -10.800000   -7.108594   -0.154723  -43.593750    0.588940    0.008650    0.028118    0.625708
   7.000000    1.045168    0.005002   -5.712891  -12.600000   -6.887109   -0.189158   44.296875    0.570590    0.010575   -0.028571    0.552594
   8.000000    1.050164    0.004997   -7.998047  -14.400000   -6.401953   -0.221168   97.031250    0.530395    0.012365   -0.062585    0.480175
   9.000000    1.055255    0.005091  -11.074219  -16.200000   -5.125781   -0.246797  255.234375    0.424666    0.013798   -0.164626    0.273837
  10.000000    1.060163    0.004908  -14.414062  -18.000000   -3.585938   -0.264727  307.968750    0.297091    0.014800   -0.198640    0.113252
  11.000000    1.065154    0.004991  -17.578125  -19.800000   -2.221875   -0.275836  272.812500    0.184080    0.015421   -0.175964    0.023537
  12.000000    1.070209    0.005055  -20.566406  -21.600000   -1.033594   -0.281004  237.656250    0.085632    0.015710   -0.153288   -0.051946
  13.000000    1.075158    0.004949  -22.939453  -23.400000   -0.460547   -0.283307  114.609375    0.038156    0.015839   -0.073923   -0.019928
  14.000000    1.080173    0.005015  -24.433594  -25.200000   -0.766406   -0.287139  -61.171875    0.063496    0.016053    0.039456    0.119005
