       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000014    0.000001    0.000000    0.005070    0.005070    0.000000    0.000000   -0.000420   -0.000000   -0.000000   -0.000420
   1.000000    0.005332    0.005318    0.000000    1.919370    1.919370    0.010206  360.000000   -0.159018   -0.000571   -0.232200   -0.391788
   2.000000    0.010570    0.005239    0.000000    3.805335    3.805335    0.030142  360.000000   -0.315268   -0.001685   -0.232200   -0.549153
   3.000000    0.015742    0.005172    0.000000    5.667105    5.667105    0.059450  360.000000   -0.469514   -0.003324   -0.232200   -0.705038
   4.000000    0.020899    0.005157    0.175781    7.523715    7.347934    0.097345  325.915701   -0.608769   -0.005442   -0.210216   -0.824427
   5.000000    0.026022    0.005123    1.406250    9.367920    7.961670    0.138131  119.805054   -0.659616   -0.007722   -0.077274   -0.744613
   6.000000    0.031143    0.005121    3.339844   11.211525    7.871681    0.178442  -17.572067   -0.652161   -0.009976    0.011334   -0.650803
   7.000000    0.036256    0.005113    5.449219   13.052085    7.602866    0.217313  -52.578291   -0.629890   -0.012149    0.033913   -0.608126
   8.000000    0.041371    0.005115    7.382812   14.893425    7.510612    0.255729  -18.036462   -0.622247   -0.014297    0.011634   -0.624910
   9.000000    0.046485    0.005114   10.458984   16.734450    6.275466    0.287821 -241.524665   -0.519916   -0.016091    0.155783   -0.380224
  10.000000    0.051599    0.005115   13.886719   18.575670    4.688951    0.311803 -310.199311   -0.388475   -0.017432    0.200079   -0.205828
  11.000000    0.056709    0.005110   16.259766   20.415255    4.155489    0.333037 -104.396552   -0.344278   -0.018619    0.067336   -0.295561
  12.000000    0.061900    0.005191   17.314453   22.283955    4.969502    0.358833  156.817332   -0.411718   -0.020061   -0.101147   -0.532927
  13.000000    0.067137    0.005237   18.281250   24.169200    5.887950    0.389667  175.383720   -0.487811   -0.021785   -0.113122   -0.622718
  14.000000    0.072426    0.005289   20.302734   26.073255    5.770521    0.420188  -22.202368   -0.478082   -0.023491    0.014321   -0.487253
  15.000000    0.077777    0.005352   23.027344   27.999810    4.972466    0.446798 -149.126038   -0.411964   -0.024979    0.096186   -0.340757
  16.000000    0.083150    0.005372   26.015625   29.933910    3.918285    0.467849 -196.218008   -0.324626   -0.026156    0.126561   -0.224221
  17.000000    0.088411    0.005262   27.070312   31.828080    4.757767    0.492883  159.549394   -0.394176   -0.027556   -0.102909   -0.524641
  18.000000    0.093589    0.005178   27.773438   33.692175    5.918738    0.523530  224.210256   -0.490361   -0.029269   -0.144616   -0.664246
  19.000000    0.098715    0.005126   29.707031   35.537490    5.830459    0.553416  -17.222182   -0.483048   -0.030940    0.011108   -0.502879
