       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000004    0.000001    0.000000    0.000000    0.001530    0.000000    0.000000    0.000000    0.000000    0.000000   -0.000376
   1.000000    0.005139    0.005135    0.000000    0.000000    1.850100    0.000000    0.000000    0.000000    0.000000    0.000000   -0.454636
   2.000000    0.010103    0.004964    0.087891    0.000000    3.549354    0.000000    0.000000    0.000000    0.000000    0.000000   -0.381715
   3.000000    0.015139    0.005035    0.615234    0.000000    4.834761    0.000000    0.000000    0.000000    0.000000    0.000000   -0.362918
   4.000000    0.020124    0.004985    1.230469    0.000000    6.014201    0.000000    0.000000    0.000000    0.000000    0.000000   -0.392510
   5.000000    0.025112    0.004988    2.021484    0.000000    7.018896    0.000000    0.000000    0.000000    0.000000    0.000000   -0.390643
   6.000000    0.030081    0.004969    2.724609    0.000000    8.104446    0.000000    0.000000    0.000000    0.000000    0.000000   -0.453143
   7.000000    0.035082    0.005001    3.427734    0.000000    9.201831    0.000000    0.000000    0.000000    0.000000    0.000000   -0.487303
   8.000000    0.040077    0.004995    4.042969    0.000000   10.384631    0.000000    0.000000    0.000000    0.000000    0.000000   -0.547369
   9.000000    0.045074    0.004998    4.570312    0.000000   11.656402    0.000000    0.000000    0.000000    0.000000    0.000000   -0.606201
  10.000000    0.050076    0.005001    4.921875    0.000000   13.105335    0.000000    0.000000    0.000000    0.000000    0.000000   -0.691174
  11.000000    0.055077    0.005001    5.097656    0.000000   14.729989    0.000000    0.000000    0.000000    0.000000    0.000000   -0.777237
  12.000000    0.060075    0.004999    5.097656    0.000000   16.529524    0.000000    0.000000    0.000000    0.000000    0.000000   -0.870473
  13.000000    0.065077    0.005002    5.009766    0.000000   18.418014    0.000000    0.000000    0.000000    0.000000    0.000000   -0.948612
  14.000000    0.070074    0.004997    5.361328    0.000000   19.865447    0.000000    0.000000    0.000000    0.000000    0.000000   -0.904496
  15.000000    0.075072    0.004998    6.152344    0.000000   20.873726    0.000000    0.000000    0.000000    0.000000    0.000000   -0.873974
  16.000000    0.080093    0.005020    7.382812    0.000000   21.450577    0.000000    0.000000    0.000000    0.000000    0.000000   -0.826395
  17.000000    0.085094    0.005002    9.580078    0.000000   21.053927    0.000000    0.000000    0.000000    0.000000    0.000000   -0.633731
  18.000000    0.090108    0.005013   12.744141    0.000000   19.694679    0.000000    0.000000    0.000000    0.000000    0.000000   -0.441106
  19.000000    0.095103    0.004995   15.996094    0.000000   18.240806    0.000000    0.000000    0.000000    0.000000    0.000000   -0.425058
  20.000000    0.100106    0.005004   18.105469    0.000000   17.932856    0.000000    0.000000    0.000000    0.000000    0.000000   -0.668220
  21.000000    0.105118    0.005011   19.599609    0.000000   18.242811    0.000000    0.000000    0.000000    0.000000    0.000000   -0.763373
  22.000000    0.110123    0.005005   22.675781    0.000000   16.968604    0.000000    0.000000    0.000000    0.000000    0.000000   -0.374951
  23.000000    0.115102    0.004979   26.015625    0.000000   15.421050    0.000000    0.000000    0.000000    0.000000    0.000000   -0.362271
  24.000000    0.120084    0.004982   29.179688    0.000000   14.050478    0.000000    0.000000    0.000000    0.000000    0.000000   -0.360976
  25.000000    0.125081    0.004997   30.322266    0.000000   14.706789    0.000000    0.000000    0.000000    0.000000    0.000000   -0.817728
  26.000000    0.130076    0.004995   32.343750    0.000000   14.483580    0.000000    0.000000    0.000000    0.000000    0.000000   -0.528439
  27.000000    0.135076    0.005000   35.068359    0.000000   13.558956    0.000000    0.000000    0.000000    0.000000    0.000000   -0.424908
  28.000000    0.140075    0.004999   37.529297    0.000000   12.897658    0.000000    0.000000    0.000000    0.000000    0.000000   -0.488244
  29.000000    0.145094    0.005019   39.990234    0.000000   12.243741    0.000000    0.000000    0.000000    0.000000    0.000000   -0.458905
  30.000000    0.150075    0.004981   42.187500    0.000000   11.839650    0.000000    0.000000    0.000000    0.000000    0.000000   -0.510784
  31.000000    0.155081    0.005006   44.208984    0.000000   11.620281    0.000000    0.000000    0.000000    0.000000    0.000000   -0.536679
  32.000000    0.160077    0.004995   46.582031    0.000000   11.045584    0.000000    0.000000    0.000000    0.000000    0.000000   -0.442608
  33.000000    0.165081    0.005005   49.130859    0.000000   10.298481    0.000000    0.000000    0.000000    0.000000    0.000000   -0.408000
  34.000000    0.170076    0.004994   51.416016    0.000000    9.811299    0.000000    0.000000    0.000000    0.000000    0.000000   -0.458839
  35.000000    0.175082    0.005006   53.525391    0.000000    9.503979    0.000000    0.000000    0.000000    0.000000    0.000000   -0.479348
  36.000000    0.180076    0.004994   55.546875    0.000000    9.280485    0.000000    0.000000    0.000000    0.000000    0.000000   -0.489877
  37.000000    0.185080    0.005004   57.392578    0.000000    9.236102    0.000000    0.000000    0.000000    0.000000    0.000000   -0.529173
  38.000000    0.190075    0.004995   59.062500    0.000000    9.364380    0.000000    0.000000    0.000000    0.000000    0.000000   -0.566806
  39.000000    0.195080    0.005005   60.468750    0.000000    9.760095    0.000000    0.000000    0.000000    0.000000    0.000000   -0.634682
  40.000000    0.200078    0.004997   61.962891    0.000000   10.065039    0.000000    0.000000    0.000000    0.000000    0.000000   -0.617623
  41.000000    0.205080    0.005002   65.126953    0.000000    8.701727    0.000000    0.000000    0.000000    0.000000    0.000000   -0.229300
  42.000000    0.210077    0.004997   68.027344    0.000000    7.600316    0.000000    0.000000    0.000000    0.000000    0.000000   -0.339501
  43.000000    0.215081    0.005005   69.960938    0.000000    7.468342    0.000000    0.000000    0.000000    0.000000    0.000000   -0.515863
  44.000000    0.220074    0.004993   71.279297    0.000000    7.947388    0.000000    0.000000    0.000000    0.000000    0.000000   -0.624728
  45.000000    0.225081    0.005007   72.246094    0.000000    8.783021    0.000000    0.000000    0.000000    0.000000    0.000000   -0.710016
  46.000000    0.230075    0.004994   72.949219    0.000000    9.877781    0.000000    0.000000    0.000000    0.000000    0.000000   -0.790749
  47.000000    0.235081    0.005006   75.673828    0.000000    8.955407    0.000000    0.000000    0.000000    0.000000    0.000000   -0.323101
  48.000000    0.240074    0.004993   78.310547    0.000000    8.116078    0.000000    0.000000    0.000000    0.000000    0.000000   -0.424578
  49.000000    0.245080    0.005006   80.771484    0.000000    7.457346    0.000000    0.000000    0.000000    0.000000    0.000000   -0.419108
  50.000000    0.250075    0.004995   83.056641    0.000000    6.970254    0.000000    0.000000    0.000000    0.000000    0.000000   -0.442846
  51.000000    0.255080    0.005006   85.166016    0.000000    6.662859    0.000000    0.000000    0.000000    0.000000    0.000000   -0.467815
  52.000000    0.260075    0.004995   87.187500    0.000000    6.439410    0.000000    0.000000    0.000000    0.000000    0.000000   -0.475466
  53.000000    0.265080    0.005006   89.384766    0.000000    6.044154    0.000000    0.000000    0.000000    0.000000    0.000000   -0.427270
  54.000000    0.270074    0.004994   91.845703    0.000000    5.381102    0.000000    0.000000    0.000000    0.000000    0.000000   -0.361878
  55.000000    0.275081    0.005006   93.427734    0.000000    5.601366    0.000000    0.000000    0.000000    0.000000    0.000000   -0.573192
  56.000000    0.280075    0.004994   94.042969    0.000000    6.783926    0.000000    0.000000    0.000000    0.000000    0.000000   -0.772211
  57.000000    0.285081    0.005006   95.976562    0.000000    6.652433    0.000000    0.000000    0.000000    0.000000    0.000000   -0.451003
  58.000000    0.290077    0.004996   98.261719    0.000000    6.165896    0.000000    0.000000    0.000000    0.000000    0.000000   -0.438458
  59.000000    0.295080    0.005003  100.458984    0.000000    5.769711    0.000000    0.000000    0.000000    0.000000    0.000000   -0.449458
  60.000000    0.300075    0.004995  102.480469    0.000000    5.546456    0.000000    0.000000    0.000000    0.000000    0.000000   -0.478366
  61.000000    0.305080    0.005006  104.414062    0.000000    5.414857    0.000000    0.000000    0.000000    0.000000    0.000000   -0.489406
  62.000000    0.310076    0.004995  106.083984    0.000000    5.543286    0.000000    0.000000    0.000000    0.000000    0.000000   -0.549392
  63.000000    0.315143    0.005068  108.808594    0.000000    4.643051    0.000000    0.000000    0.000000    0.000000    0.000000   -0.290747
  64.000000    0.320135    0.004992  111.796875    0.000000    3.451890    0.000000    0.000000    0.000000    0.000000    0.000000   -0.249225
  65.000000    0.325149    0.005014  113.642578    0.000000    3.411242    0.000000    0.000000    0.000000    0.000000    0.000000   -0.499642
  66.000000    0.330130    0.004981  114.785156    0.000000    4.061704    0.000000    0.000000    0.000000    0.000000    0.000000   -0.611596
  67.000000    0.335149    0.005018  115.839844    0.000000    4.813646    0.000000    0.000000    0.000000    0.000000    0.000000   -0.637284
  68.000000    0.340127    0.004979  116.806641    0.000000    5.639154    0.000000    0.000000    0.000000    0.000000    0.000000   -0.680629
  69.000000    0.345148    0.005021  119.443359    0.000000    4.809981    0.000000    0.000000    0.000000    0.000000    0.000000   -0.298053
  70.000000    0.350129    0.004981  121.992188    0.000000    4.054252    0.000000    0.000000    0.000000    0.000000    0.000000   -0.377988
  71.000000    0.355158    0.005029  124.365234    0.000000    3.491556    0.000000    0.000000    0.000000    0.000000    0.000000   -0.381099
  72.000000    0.360129    0.004971  125.859375    0.000000    3.787020    0.000000    0.000000    0.000000    0.000000    0.000000   -0.572675
  73.000000    0.365147    0.005018  126.826172    0.000000    4.626793    0.000000    0.000000    0.000000    0.000000    0.000000   -0.675143
  74.000000    0.370133    0.004986  129.287109    0.000000    3.960681    0.000000    0.000000    0.000000    0.000000    0.000000   -0.315167
  75.000000    0.375146    0.005014  131.835938    0.000000    3.216742    0.000000    0.000000    0.000000    0.000000    0.000000   -0.358139
  76.000000    0.380129    0.004982  134.121094    0.000000    2.725211    0.000000    0.000000    0.000000    0.000000    0.000000   -0.384416
  77.000000    0.385147    0.005019  135.703125    0.000000    2.949945    0.000000    0.000000    0.000000    0.000000    0.000000   -0.537818
  78.000000    0.390128    0.004980  136.230469    0.000000    4.215446    0.000000    0.000000    0.000000    0.000000    0.000000   -0.768154
  79.000000    0.395148    0.005020  136.933594    0.000000    5.319536    0.000000    0.000000    0.000000    0.000000    0.000000   -0.724521
  80.000000    0.400129    0.004981  139.394531    0.000000    4.651894    0.000000    0.000000    0.000000    0.000000    0.000000   -0.343770
  81.000000    0.405152    0.005023  142.646484    0.000000    3.208266    0.000000    0.000000    0.000000    0.000000    0.000000   -0.220293
  82.000000    0.410129    0.004977  144.755859    0.000000    2.890506    0.000000    0.000000    0.000000    0.000000    0.000000   -0.474269
  83.000000    0.415147    0.005019  145.810547    0.000000    3.642493    0.000000    0.000000    0.000000    0.000000    0.000000   -0.667809
  84.000000    0.420127    0.004980  147.392578    0.000000    3.853262    0.000000    0.000000    0.000000    0.000000    0.000000   -0.519808
  85.000000    0.425149    0.005022  149.765625    0.000000    3.288060    0.000000    0.000000    0.000000    0.000000    0.000000   -0.374075
  86.000000    0.430128    0.004979  152.402344    0.000000    2.443631    0.000000    0.000000    0.000000    0.000000    0.000000   -0.320591
  87.000000    0.435148    0.005020  155.390625    0.000000    1.262595    0.000000    0.000000    0.000000    0.000000    0.000000   -0.220358
  88.000000    0.440130    0.004982  156.972656    0.000000    1.474129    0.000000    0.000000    0.000000    0.000000    0.000000   -0.543028
  89.000000    0.445203    0.005073  157.851562    0.000000    2.421353    0.000000    0.000000    0.000000    0.000000    0.000000   -0.657164
  90.000000    0.450137    0.004934  158.378906    0.000000    3.670414    0.000000    0.000000    0.000000    0.000000    0.000000   -0.741647
  91.000000    0.455148    0.005011  159.697266    0.000000    4.155894    0.000000    0.000000    0.000000    0.000000    0.000000   -0.583148
  92.000000    0.460130    0.004982  162.333984    0.000000    3.312711    0.000000    0.000000    0.000000    0.000000    0.000000   -0.314413
  93.000000    0.465146    0.005016  164.794922    0.000000    2.657683    0.000000    0.000000    0.000000    0.000000    0.000000   -0.394355
  94.000000    0.470131    0.004984  167.080078    0.000000    2.166902    0.000000    0.000000    0.000000    0.000000    0.000000   -0.393237
  95.000000    0.475150    0.005020  168.222656    0.000000    2.831359    0.000000    0.000000    0.000000    0.000000    0.000000   -0.660696
  96.000000    0.480127    0.004977  169.277344    0.000000    3.568301    0.000000    0.000000    0.000000    0.000000    0.000000   -0.642495
  97.000000    0.485147    0.005020  171.826172    0.000000    2.826763    0.000000    0.000000    0.000000    0.000000    0.000000   -0.313025
  98.000000    0.490129    0.004982  174.902344    0.000000    1.544036    0.000000    0.000000    0.000000    0.000000    0.000000   -0.231311
  99.000000    0.495148    0.005020  177.802734    0.000000    0.450726    0.000000    0.000000    0.000000    0.000000    0.000000   -0.250094
 100.000000    0.500133    0.004985  178.505859    0.000000    1.446216    0.000000    0.000000    0.000000    0.000000    0.000000   -0.718838
 101.000000    0.505152    0.005019  179.208984    0.000000   -1.063854    0.000000    0.000000    0.000000    0.000000    0.000000    0.215142
 102.000000    0.510135    0.004982  179.912109    0.000000   -3.560544    0.000000    0.000000    0.000000    0.000000    0.000000    0.087358
 103.000000    0.515149    0.005015  181.318359    0.000000   -6.772059    0.000000    0.000000    0.000000    0.000000    0.000000    0.388870
 104.000000    0.520214    0.005065  182.636719    0.000000   -9.913744    0.000000    0.000000    0.000000    0.000000    0.000000    0.425532
 105.000000    0.525142    0.004928  183.779297    0.000000  -12.830312    0.000000    0.000000    0.000000    0.000000    0.000000    0.485570
 106.000000    0.530134    0.004992  182.988281    0.000000  -13.836536    0.000000    0.000000    0.000000    0.000000    0.000000    0.119122
 107.000000    0.535144    0.005010  182.285156    0.000000  -14.936966    0.000000    0.000000    0.000000    0.000000    0.000000    0.274942
 108.000000    0.540129    0.004985  181.669922    0.000000  -16.116377    0.000000    0.000000    0.000000    0.000000    0.000000    0.308754
 109.000000    0.545146    0.005017  181.230469    0.000000  -17.482864    0.000000    0.000000    0.000000    0.000000    0.000000    0.401498
 110.000000    0.550124    0.004979  181.230469    0.000000  -19.275169    0.000000    0.000000    0.000000    0.000000    0.000000    0.547031
 111.000000    0.555146    0.005022  181.494141    0.000000  -21.346641    0.000000    0.000000    0.000000    0.000000    0.000000    0.661212
 112.000000    0.560125    0.004980  181.582031    0.000000  -23.227196    0.000000    0.000000    0.000000    0.000000    0.000000    0.678926
 113.000000    0.565147    0.005022  181.669922    0.000000  -25.122872    0.000000    0.000000    0.000000    0.000000    0.000000    0.764033
 114.000000    0.570126    0.004979  180.878906    0.000000  -26.124416    0.000000    0.000000    0.000000    0.000000    0.000000    0.611502
 115.000000    0.575149    0.005022  179.912109    0.000000  -26.965599    0.000000    0.000000    0.000000    0.000000    0.000000    0.662397
 116.000000    0.580126    0.004977  179.208984    0.000000  -28.054254    0.000000    0.000000    0.000000    0.000000    0.000000    0.760436
 117.000000    0.585146    0.005020  177.714844    0.000000  -28.367284    0.000000    0.000000    0.000000    0.000000    0.000000    0.605749
 118.000000    0.590128    0.004982  175.253906    0.000000  -27.699956    0.000000    0.000000    0.000000    0.000000    0.000000    0.431180
 119.000000    0.595147    0.005019  172.353516    0.000000  -26.606271    0.000000    0.000000    0.000000    0.000000    0.000000    0.360425
 120.000000    0.600126    0.004980  169.628906    0.000000  -25.674401    0.000000    0.000000    0.000000    0.000000    0.000000    0.393320
 121.000000    0.605146    0.005020  168.310547    0.000000  -26.163167    0.000000    0.000000    0.000000    0.000000    0.000000    0.716958
 122.000000    0.610125    0.004979  167.343750    0.000000  -26.988855    0.000000    0.000000    0.000000    0.000000    0.000000    0.759313
 123.000000    0.615145    0.005020  166.113281    0.000000  -27.565451    0.000000    0.000000    0.000000    0.000000    0.000000    0.736658
 124.000000    0.620130    0.004985  163.828125    0.000000  -27.075045    0.000000    0.000000    0.000000    0.000000    0.000000    0.519142
 125.000000    0.625142    0.005012  160.488281    0.000000  -25.539476    0.000000    0.000000    0.000000    0.000000    0.000000    0.312472
 126.000000    0.630126    0.004984  157.500000    0.000000  -24.345375    0.000000    0.000000    0.000000    0.000000    0.000000    0.404207
 127.000000    0.635143    0.005017  155.830078    0.000000  -24.481543    0.000000    0.000000    0.000000    0.000000    0.000000    0.681138
 128.000000    0.640125    0.004982  154.248047    0.000000  -24.693212    0.000000    0.000000    0.000000    0.000000    0.000000    0.655861
 129.000000    0.645145    0.005019  151.787109    0.000000  -24.039204    0.000000    0.000000    0.000000    0.000000    0.000000    0.472948
 130.000000    0.650132    0.004987  148.710938    0.000000  -22.758338    0.000000    0.000000    0.000000    0.000000    0.000000    0.352939
