       step          sn     cputime cputimediff       angle         ref       error           v 
   0.000000  200.000000    1.015119    1.015109   -0.000000    0.000000    0.000000    0.000000 
   1.000000  202.000000    1.024358    0.009239   -0.000000   -3.600000   -3.600000   -0.187519 
   2.000000  203.000000    1.030404    0.006046   -0.000000   -5.400000   -5.400000   -0.366037 
   3.000000  204.000000    1.036426    0.006022   -0.000000   -7.200000   -7.200000   -0.543054 
   4.000000  205.000000    1.042471    0.006045   -0.000000   -9.000000   -9.000000   -0.721572 
   5.000000  206.000000    1.048411    0.005939   -0.527344  -10.800000  -10.272656   -0.900090 
   6.000000  208.000000    1.054351    0.005940   -4.394531  -14.400000  -10.005469   -1.074107 
   7.000000  209.000000    1.060313    0.005962   -7.294922  -16.200000   -8.905078   -0.646565 
   8.000000  210.000000    1.066264    0.005951  -11.865234  -18.000000   -6.134766   -0.477048 
   9.000000  211.000000    1.072248    0.005983  -16.611328  -19.800000   -3.188672    0.036004 
  10.000000  212.000000    1.078229    0.005981  -19.335938  -21.600000   -2.264063    0.348035 
  11.000000  213.000000    1.084200    0.005972  -21.884766  -23.400000   -1.515234    0.142514 
  12.000000  215.000000    1.090366    0.006166  -23.994141  -27.000000   -3.005859    0.262526 
  13.000000  216.000000    1.096362    0.005996  -23.642578  -28.800000   -5.157422   -0.265527 
  14.000000  217.000000    1.102374    0.006012  -23.115234  -30.600000   -7.484766   -0.592559 
  15.000000  218.000000    1.108420    0.006046  -22.587891  -32.400000   -9.812109   -0.847585 
  16.000000  220.000000    1.114506    0.006086  -24.082031  -36.000000  -11.917969   -1.306631 
  17.000000  221.000000    1.120641    0.006135  -26.718750  -37.800000  -11.081250   -1.008101 
  18.000000  222.000000    1.126630    0.005989  -30.937500  -39.600000   -8.662500   -0.750075 
  19.000000  223.000000    1.132637    0.006007  -35.507812  -41.400000   -5.892187   -0.283528 
  20.000000  224.000000    1.138610    0.005973  -39.726562  -43.200000   -3.473438    0.036004 
  21.000000  226.000000    1.144580    0.005970  -46.845703  -46.800000    0.045703    0.456046 
  22.000000  227.000000    1.150571    0.005992  -48.076172  -48.600000   -0.523828    0.384038 
  23.000000  228.000000    1.156548    0.005976  -48.515625  -50.400000   -1.884375    0.070507 
  24.000000  229.000000    1.162690    0.006142  -48.515625  -52.200000   -3.684375   -0.178518 
  25.000000  230.000000    1.168792    0.006102  -48.339844  -54.000000   -5.660156   -0.418542 
  26.000000  232.000000    1.174907    0.006115  -48.867188  -57.600000   -8.732812   -0.832583 
  27.000000  233.000000    1.181153    0.006245  -50.712891  -59.400000   -8.687109   -0.816082 
  28.000000  234.000000    1.187220    0.006067  -53.789062  -61.200000   -7.410937   -0.646565 
  29.000000  235.000000    1.193326    0.006106  -58.183594  -63.000000   -4.816406   -0.345035 
  30.000000  237.000000    1.199254    0.005928  -63.193359  -66.600000   -3.406641    0.354035 
  31.000000  238.000000    1.205172    0.005918  -65.214844  -68.400000   -3.185156   -0.097510 
  32.000000  239.000000    1.211097    0.005925  -66.796875  -70.200000   -3.403125   -0.090009 
  33.000000  240.000000    1.217003    0.005906  -66.533203  -72.000000   -5.466797   -0.177018 
  34.000000  241.000000    1.222905    0.005902  -66.357422  -73.800000   -7.442578   -0.649565 
  35.000000  242.000000    1.228889    0.005985  -66.269531  -75.600000   -9.330469   -0.831083 
  36.000000  244.000000    1.234792    0.005902  -68.027344  -79.200000  -11.172656   -1.191119 
  37.000000  245.000000    1.240711    0.005919  -70.488281  -81.000000  -10.511719   -0.961596 
  38.000000  246.000000    1.246628    0.005917  -74.707031  -82.800000   -8.092969   -0.757576 
  39.000000  247.000000    1.252535    0.005908  -79.804688  -84.600000   -4.795313   -0.267027 
  40.000000  248.000000    1.258433    0.005898  -84.023438  -86.400000   -2.376562    0.183018 
  41.000000  250.000000    1.264389    0.005956  -89.736328  -90.000000   -0.263672    0.526553 
  42.000000  251.000000    1.270284    0.005895  -90.966797  -91.800000   -0.833203    0.226523 
  43.000000  252.000000    1.276234    0.005951  -90.878906  -93.600000   -2.721094    0.003000 
  44.000000  253.000000    1.282186    0.005952  -90.615234  -95.400000   -4.784766   -0.375038 
  45.000000  254.000000    1.288139    0.005953  -90.439453  -97.200000   -6.760547   -0.603060 
  46.000000  255.000000    1.294087    0.005948  -90.351562  -99.000000   -8.648438   -0.786079 
  47.000000  257.000000    1.300144    0.006057  -94.306641 -102.600000   -8.293359   -1.144614 
  48.000000  258.000000    1.306041    0.005897  -97.910156 -104.400000   -6.489844   -0.519052 
  49.000000  259.000000    1.311999    0.005958 -102.656250 -106.200000   -3.543750   -0.216022 
  50.000000  260.000000    1.317879    0.005880 -107.050781 -108.000000   -0.949219    0.238524 
  51.000000  261.000000    1.323787    0.005907 -109.775391 -109.800000   -0.024609    0.439544 
  52.000000  263.000000    1.329687    0.005900 -112.148438 -113.400000   -1.251562    0.376538 
  53.000000  264.000000    1.335625    0.005938 -111.796875 -115.200000   -3.403125   -0.156016 
  54.000000  265.000000    1.341534    0.005909 -111.269531 -117.000000   -5.730469   -0.495050 
  55.000000  266.000000    1.347430    0.005896 -110.742188 -118.800000   -8.057813   -0.750075 
  56.000000  267.000000    1.353331    0.005901 -110.390625 -120.600000  -10.209375   -0.979598 
  57.000000  269.000000    1.359225    0.005894 -114.082031 -124.200000  -10.117969   -1.377138 
  58.000000  270.000000    1.365127    0.005902 -118.300781 -126.000000   -7.699219   -0.727573 
  59.000000  271.000000    1.371022    0.005895 -124.541016 -127.800000   -3.258984   -0.261026 
  60.000000  272.000000    1.377010    0.005988 -128.759766 -129.600000   -0.840234    0.466547 
  61.000000  273.000000    1.382905    0.005895 -132.626953 -131.400000    1.226953    0.408041 
  62.000000  274.000000    1.388810    0.005905 -134.472656 -133.200000    1.272656    0.558056 
  63.000000  276.000000    1.394714    0.005904 -135.966797 -136.800000   -0.833203    0.273027 
  64.000000  277.000000    1.400615    0.005901 -135.263672 -138.600000   -3.336328   -0.207021 
  65.000000  278.000000    1.406519    0.005904 -134.560547 -140.400000   -5.839453   -0.556556 
  66.000000  279.000000    1.412415    0.005896 -134.472656 -142.200000   -7.727344   -0.802580 
  67.000000  280.000000    1.418307    0.005892 -135.966797 -144.000000   -8.033203   -0.898590 
