       step          sn     cputime cputimediff       angle         ref       error           v 
   0.000000  200.000000    1.010155    1.010151   -0.000000    0.000000    0.000000    0.000000 
   1.000000  202.000000    1.019744    0.009589   -0.000000   -3.600000   -3.600000   -0.132013 
   2.000000  203.000000    1.025793    0.006049   -0.000000   -5.400000   -5.400000   -0.282028 
   3.000000  204.000000    1.031800    0.006007   -0.000000   -7.200000   -7.200000   -0.433543 
   4.000000  205.000000    1.037871    0.006072   -0.439453   -9.000000   -8.560547   -0.583558 
   5.000000  206.000000    1.043859    0.005988   -1.406250  -10.800000   -9.393750   -0.642064 
   6.000000  208.000000    1.049816    0.005956   -3.779297  -14.400000  -10.620703   -0.715572 
   7.000000  209.000000    1.055789    0.005973   -5.273438  -16.200000  -10.926562   -0.730573 
   8.000000  210.000000    1.061789    0.006000   -7.910156  -18.000000  -10.089844   -0.714071 
   9.000000  211.000000    1.067785    0.005996  -10.722656  -19.800000   -9.077344   -0.499550 
  10.000000  212.000000    1.073771    0.005986  -13.798828  -21.600000   -7.801172   -0.396040 
  11.000000  214.000000    1.079777    0.006006  -19.775391  -25.200000   -5.424609   -0.153015 
  12.000000  215.000000    1.085882    0.006105  -22.412109  -27.000000   -4.587891   -0.087009 
  13.000000  216.000000    1.091896    0.006014  -24.960938  -28.800000   -3.839063   -0.054005 
  14.000000  217.000000    1.097954    0.006058  -26.015625  -30.600000   -4.584375   -0.004500 
  15.000000  218.000000    1.104017    0.006063  -26.191406  -32.400000   -6.208594   -0.259526 
  16.000000  220.000000    1.110182    0.006165  -25.664062  -36.000000  -10.335938   -0.643564 
  17.000000  221.000000    1.116319    0.006136  -25.224609  -37.800000  -12.575391   -0.946595 
  18.000000  222.000000    1.122294    0.005976  -24.960938  -39.600000  -14.639063   -1.125113 
  19.000000  223.000000    1.128262    0.005967  -25.400391  -41.400000  -15.999609   -1.276628 
  20.000000  224.000000    1.134256    0.005994  -27.773438  -43.200000  -15.426563   -1.303630 
  21.000000  226.000000    1.140264    0.006008  -37.177734  -46.800000   -9.622266   -0.963096 
  22.000000  227.000000    1.146268    0.006004  -42.714844  -48.600000   -5.885156   -0.117012 
  23.000000  228.000000    1.152228    0.005960  -48.691406  -50.400000   -1.708594    0.180018 
  24.000000  229.000000    1.158292    0.006064  -53.876953  -52.200000    1.676953    0.582058 
  25.000000  230.000000    1.164362    0.006070  -57.041016  -54.000000    3.041016    0.760576 
  26.000000  232.000000    1.170431    0.006069  -58.359375  -57.600000    0.759375    0.726073 
  27.000000  233.000000    1.176546    0.006115  -56.953125  -59.400000   -2.446875   -0.006001 
  28.000000  234.000000    1.182515    0.005969  -54.931641  -61.200000   -6.268359   -0.430543 
  29.000000  235.000000    1.188650    0.006135  -52.910156  -63.000000  -10.089844   -0.828083 
  30.000000  237.000000    1.194692    0.006042  -53.789062  -66.600000  -12.810938   -1.464146 
  31.000000  238.000000    1.200736    0.006044  -56.601562  -68.400000  -11.798437   -0.937594 
  32.000000  239.000000    1.206763    0.006027  -61.699219  -70.200000   -8.500781   -0.676568 
  33.000000  240.000000    1.212787    0.006024  -66.796875  -72.000000   -5.203125   -0.109511 
  34.000000  241.000000    1.218862    0.006074  -71.015625  -73.800000   -2.784375    0.162016 
  35.000000  243.000000    1.225071    0.006210  -76.640625  -77.400000   -0.759375    0.448545 
  36.000000  244.000000    1.231276    0.006205  -77.343750  -79.200000   -1.856250    0.177018 
  37.000000  245.000000    1.237318    0.006041  -76.992188  -81.000000   -4.007813   -0.130513 
  38.000000  246.000000    1.243363    0.006045  -76.464844  -82.800000   -6.335156   -0.445545 
  39.000000  247.000000    1.249362    0.005998  -75.937500  -84.600000   -8.662500   -0.663066 
  40.000000  249.000000    1.255373    0.006011  -76.201172  -88.200000  -11.998828   -1.050105 
  41.000000  250.000000    1.261277    0.005904  -78.134766  -90.000000  -11.865234   -0.982598 
  42.000000  251.000000    1.267184    0.005907  -80.595703  -91.800000  -11.204297   -0.816082 
  43.000000  252.000000    1.273088    0.005904  -84.550781  -93.600000   -9.049219   -0.696070 
  44.000000  253.000000    1.278990    0.005902  -89.560547  -95.400000   -5.839453   -0.327033 
  45.000000  255.000000    1.284888    0.005898  -95.712891  -99.000000   -3.287109    0.339034 
  46.000000  256.000000    1.290794    0.005905  -98.261719 -100.800000   -2.538281   -0.024002 
  47.000000  257.000000    1.296702    0.005909 -100.458984 -102.600000   -2.141016    0.027003 
  48.000000  258.000000    1.302619    0.005917 -100.810547 -104.400000   -3.589453    0.013501 
  49.000000  259.000000    1.308577    0.005959 -101.074219 -106.200000   -5.125781   -0.345035 
  50.000000  260.000000    1.314480    0.005903 -101.250000 -108.000000   -6.750000   -0.486049 
  51.000000  262.000000    1.320453    0.005973 -101.689453 -111.600000   -9.910547   -0.768077 
  52.000000  263.000000    1.326417    0.005964 -103.710938 -113.400000   -9.689062   -0.867087 
  53.000000  264.000000    1.332460    0.006043 -106.699219 -115.200000   -8.500781   -0.646565 
  54.000000  265.000000    1.338400    0.005939 -110.478516 -117.000000   -6.521484   -0.426043 
  55.000000  266.000000    1.344355    0.005956 -113.994141 -118.800000   -4.805859   -0.162016 
  56.000000  268.000000    1.350246    0.005890 -119.619141 -122.400000   -2.780859    0.087009 
  57.000000  269.000000    1.356202    0.005956 -121.201172 -124.200000   -2.998828   -0.048005 
  58.000000  270.000000    1.362109    0.005907 -121.904297 -126.000000   -4.095703   -0.157516 
  59.000000  271.000000    1.368018    0.005909 -122.255859 -127.800000   -5.544141   -0.363036 
  60.000000  272.000000    1.373915    0.005897 -122.431641 -129.600000   -7.168359   -0.529553 
  61.000000  274.000000    1.379817    0.005902 -124.101562 -133.200000   -9.098438   -0.823582 
  62.000000  275.000000    1.385732    0.005915 -126.650391 -135.000000   -8.349609   -0.672067 
  63.000000  276.000000    1.391639    0.005907 -130.429688 -136.800000   -6.370313   -0.487549 
  64.000000  277.000000    1.397541    0.005903 -134.296875 -138.600000   -4.303125   -0.166517 
  65.000000  278.000000    1.403537    0.005995 -136.230469 -140.400000   -4.169531    0.015002 
  66.000000  279.000000    1.409444    0.005908 -138.164062 -142.200000   -4.035938   -0.225023 
  67.000000  281.000000    1.415358    0.005913 -142.207031 -145.800000   -3.592969   -0.204020 
  68.000000  282.000000    1.421271    0.005913 -142.382812 -147.600000   -5.217187   -0.169517 
  69.000000  283.000000    1.427171    0.005901 -142.294922 -149.400000   -7.105078   -0.543054 
  70.000000  284.000000    1.433077    0.005906 -142.031250 -151.200000   -9.168750   -0.735074 
  71.000000  285.000000    1.438976    0.005899 -142.382812 -153.000000  -10.617188   -0.931593 
  72.000000  287.000000    1.444876    0.005900 -146.074219 -156.600000  -10.525781   -1.095110 
  73.000000  288.000000    1.450786    0.005910 -150.468750 -158.400000   -7.931250   -0.702070 
  74.000000  289.000000    1.456686    0.005900 -155.302734 -160.200000   -4.897266   -0.240024 
  75.000000  290.000000    1.462595    0.005909 -159.873047 -162.000000   -2.126953    0.067507 
  76.000000  291.000000    1.468498    0.005903 -163.212891 -163.800000   -0.587109    0.262526 
  77.000000  293.000000    1.474527    0.006029 -166.816406 -167.400000   -0.583594    0.358536 
  78.000000  294.000000    1.480442    0.005916 -167.783203 -169.200000   -1.416797   -0.042004 
  79.000000  295.000000    1.486334    0.005892 -168.574219 -171.000000   -2.425781   -0.145515 
  80.000000  296.000000    1.492222    0.005888 -168.925781 -172.800000   -3.874219   -0.252025 
  81.000000  297.000000    1.498170    0.005948 -169.277344 -174.600000   -5.322656   -0.429043 
  82.000000  298.000000    1.504134    0.005964 -169.453125 -176.400000   -6.946875   -0.550555 
  83.000000  300.000000    1.510088    0.005954 -172.617188 -180.000000   -7.382812   -0.844584 
  84.000000  301.000000    1.516039    0.005951 -174.990234 -178.200000   -3.209766   -0.535554 
  85.000000  302.000000    1.521986    0.005947 -177.539062 -176.400000    1.139062    0.342034 
  86.000000  303.000000    1.527931    0.005945 -179.912109 -174.600000    5.312109    0.726073 
  87.000000  304.000000    1.533824    0.005893 -181.406250 -172.800000    8.606250    1.050105 
  88.000000  306.000000    1.539849    0.006026 -178.769531 -169.200000    9.569531    1.485149 
  89.000000  307.000000    1.545859    0.006009 -175.341797 -167.400000    7.941797    0.832583 
  90.000000  308.000000    1.551766    0.005907 -170.419922 -165.600000    4.819922    0.529553 
  91.000000  309.000000    1.557670    0.005905 -165.585938 -163.800000    1.785937    0.079508 
  92.000000  310.000000    1.563575    0.005905 -160.927734 -162.000000   -1.072266   -0.160516 
  93.000000  311.000000    1.569473    0.005898 -157.236328 -160.200000   -2.963672   -0.375038 
  94.000000  313.000000    1.575375    0.005902 -155.039062 -156.600000   -1.560938   -0.564056 
  95.000000  314.000000    1.581274    0.005900 -155.742188 -154.800000    0.942188    0.127513 
  96.000000  315.000000    1.587177    0.005903 -156.884766 -153.000000    3.884766    0.483048 
  97.000000  316.000000    1.593078    0.005901 -157.851562 -151.200000    6.651563    0.784578 
  98.000000  317.000000    1.598980    0.005902 -158.730469 -149.400000    9.330469    0.991599 
  99.000000  319.000000    1.604880    0.005899 -156.005859 -145.800000   10.205859    1.428143 
 100.000000  320.000000    1.610788    0.005908 -152.578125 -144.000000    8.578125    0.943594 
 101.000000  321.000000    1.616801    0.006013 -147.128906 -142.200000    4.928906    0.595560 
 102.000000  322.000000    1.622710    0.005908 -141.855469 -140.400000    1.455469    0.034503 
 103.000000  323.000000    1.628616    0.005906 -137.460938 -138.600000   -1.139062   -0.231023 
 104.000000  325.000000    1.634520    0.005905 -132.187500 -135.000000   -2.812500   -0.547555 
 105.000000  326.000000    1.640432    0.005912 -130.957031 -133.200000   -2.242969   -0.156016 
 106.000000  327.000000    1.646338    0.005905 -130.078125 -131.400000   -1.321875   -0.018002 
 107.000000  328.000000    1.652236    0.005898 -129.375000 -129.600000   -0.225000    0.103510 
 108.000000  329.000000    1.658179    0.005943 -128.847656 -127.800000    1.047656    0.216022 
 109.000000  330.000000    1.664070    0.005891 -128.496094 -126.000000    2.496094    0.345035 
 110.000000  332.000000    1.670020    0.005950 -128.056641 -122.400000    5.656641    0.609061 
 111.000000  333.000000    1.675975    0.005955 -127.617188 -120.600000    7.017188    0.775578 
 112.000000  334.000000    1.681923    0.005948 -125.947266 -118.800000    7.147266    0.856586 
 113.000000  335.000000    1.687980    0.006057 -123.837891 -117.000000    6.837891    0.711071 
 114.000000  336.000000    1.693914    0.005934 -121.201172 -115.200000    6.001172    0.630063 
 115.000000  338.000000    1.699819    0.005905 -113.994141 -111.600000    2.394141    0.424542 
 116.000000  339.000000    1.705715    0.005896 -110.478516 -109.800000    0.678516    0.061506 
 117.000000  340.000000    1.711667    0.005951 -107.578125 -108.000000   -0.421875   -0.058506 
 118.000000  341.000000    1.717566    0.005900 -105.029297 -106.200000   -1.170703   -0.070507 
 119.000000  342.000000    1.723469    0.005903 -103.535156 -104.400000   -0.864844   -0.087009 
 120.000000  343.000000    1.729363    0.005893 -102.656250 -102.600000    0.056250    0.075008 
 121.000000  345.000000    1.735261    0.005898 -102.656250  -99.000000    3.656250    0.306031 
 122.000000  346.000000    1.741164    0.005903 -103.007812  -97.200000    5.807812    0.666067 
 123.000000  347.000000    1.747067    0.005903 -103.183594  -95.400000    7.783594    0.868587 
 124.000000  348.000000    1.752962    0.005895 -103.095703  -93.600000    9.495703    1.011101 
 125.000000  349.000000    1.758991    0.006029 -101.074219  -91.800000    9.274219    1.122112 
 126.000000  351.000000    1.764883    0.005892  -93.779297  -88.200000    5.579297    0.838584 
 127.000000  352.000000    1.770782    0.005898  -88.593750  -86.400000    2.193750    0.282028 
 128.000000  353.000000    1.776677    0.005895  -83.583984  -84.600000   -1.016016   -0.133513 
 129.000000  354.000000    1.782583    0.005906  -78.750000  -82.800000   -4.050000   -0.376538 
 130.000000  355.000000    1.788492    0.005909  -76.201172  -81.000000   -4.798828   -0.607561 
 131.000000  356.000000    1.794395    0.005903  -74.355469  -79.200000   -4.844531   -0.375038 
 132.000000  358.000000    1.800292    0.005897  -74.003906  -75.600000   -1.596094   -0.294029 
 133.000000  359.000000    1.806193    0.005901  -74.531250  -73.800000    0.731250    0.238524 
 134.000000  360.000000    1.812091    0.005898  -75.058594  -72.000000    3.058594    0.477048 
 135.000000  361.000000    1.817990    0.005899  -75.498047  -70.200000    5.298047    0.670567 
 136.000000  362.000000    1.823886    0.005896  -74.355469  -68.400000    5.955469    0.846085 
 137.000000  364.000000    1.829782    0.005897  -70.488281  -64.800000    5.688281    0.753075 
 138.000000  365.000000    1.835682    0.005899  -67.500000  -63.000000    4.500000    0.555056 
 139.000000  366.000000    1.841577    0.005895  -63.808594  -61.200000    2.608594    0.343534 
 140.000000  367.000000    1.847477    0.005900  -60.292969  -59.400000    0.892969    0.097510 
 141.000000  368.000000    1.853373    0.005896  -57.041016  -57.600000   -0.558984   -0.021002 
 142.000000  369.000000    1.859269    0.005896  -55.283203  -55.800000   -0.516797   -0.108011 
 143.000000  371.000000    1.865327    0.006058  -52.558594  -52.200000    0.358594    0.091509 
 144.000000  372.000000    1.871425    0.006098  -51.943359  -50.400000    1.543359    0.240024 
 145.000000  373.000000    1.877363    0.005937  -51.591797  -48.600000    2.991797    0.406541 
 146.000000  374.000000    1.883314    0.005952  -51.503906  -46.800000    4.703906    0.561056 
 147.000000  375.000000    1.889262    0.005947  -51.503906  -45.000000    6.503906    0.738074 
 148.000000  377.000000    1.895165    0.005903  -49.482422  -41.400000    8.082422    1.050105 
 149.000000  378.000000    1.901248    0.006083  -46.933594  -39.600000    7.333594    0.865587 
 150.000000  379.000000    1.907139    0.005891  -43.154297  -37.800000    5.354297    0.646565 
 151.000000  380.000000    1.913038    0.005899  -39.199219  -36.000000    3.199219    0.325533 
 152.000000  381.000000    1.918935    0.005897  -34.892578  -34.200000    0.692578    0.126013 
 153.000000  383.000000    1.924830    0.005895  -28.037109  -30.600000   -2.562891   -0.334533 
 154.000000  384.000000    1.930729    0.005900  -26.630859  -28.800000   -2.169141   -0.193519 
 155.000000  385.000000    1.936721    0.005992  -26.191406  -27.000000   -0.808594    0.007501 
 156.000000  386.000000    1.942625    0.005903  -26.103516  -25.200000    0.903516    0.244524 
 157.000000  387.000000    1.948521    0.005897  -26.279297  -23.400000    2.879297    0.432043 
 158.000000  388.000000    1.954424    0.005903  -26.367188  -21.600000    4.767187    0.631563 
 159.000000  390.000000    1.960323    0.005899  -24.873047  -18.000000    6.873047    0.934593 
 160.000000  391.000000    1.966223    0.005901  -21.884766  -16.200000    5.684766    0.741074 
 161.000000  392.000000    1.972123    0.005900  -18.457031  -14.400000    4.057031    0.462046 
 162.000000  393.000000    1.978016    0.005893  -14.765625  -12.600000    2.165625    0.271527 
 163.000000  394.000000    1.983919    0.005903  -10.898438  -10.800000    0.098437    0.081008 
 164.000000  396.000000    1.989819    0.005901   -5.712891   -7.200000   -1.487109   -0.283528 
 165.000000  397.000000    1.995723    0.005904   -5.009766   -5.400000   -0.390234   -0.006001 
 166.000000  398.000000    2.001624    0.005901   -4.921875   -3.600000    1.321875    0.255026 
 167.000000  399.000000    2.007523    0.005899   -4.921875   -1.800000    3.121875    0.475548 
 168.000000  400.000000    2.013538    0.006015   -5.009766    0.000000    5.009766    0.637564 
 169.000000  401.000000    2.019431    0.005893   -5.097656    1.800000    6.897656    0.807081 
 170.000000  403.000000    2.025571    0.006140   -0.000000    5.400000    5.400000    1.122112 
 171.000000  404.000000    2.031563    0.005992    4.218750    7.200000    2.981250    0.424542 
 172.000000  405.000000    2.037513    0.005951    9.052734    9.000000   -0.052734    0.088509 
 173.000000  406.000000    2.043529    0.006015   13.623047   10.800000   -2.823047   -0.241524 
 174.000000  407.000000    2.049428    0.005900   16.083984   12.600000   -3.483984   -0.438044 
 175.000000  409.000000    2.055319    0.005890   17.841797   16.200000   -1.641797   -0.276028 
 176.000000  410.000000    2.061272    0.005953   17.666016   18.000000    0.333984    0.190519 
 177.000000  411.000000    2.067168    0.005896   17.490234   19.800000    2.309766    0.433543 
 178.000000  412.000000    2.073064    0.005896   17.402344   21.600000    4.197656    0.598560 
 179.000000  413.000000    2.079059    0.005995   18.544922   23.400000    4.855078    0.744074 
 180.000000  415.000000    2.084956    0.005897   23.906250   27.000000    3.093750    0.696070 
 181.000000  416.000000    2.090856    0.005900   27.509766   28.800000    1.290234    0.259526 
 182.000000  417.000000    2.096749    0.005893   31.025391   30.600000   -0.425391    0.031503 
 183.000000  418.000000    2.102655    0.005907   34.365234   32.400000   -1.965234   -0.100510 
 184.000000  419.000000    2.108560    0.005905   36.914062   34.200000   -2.714062   -0.205521 
 185.000000  420.000000    2.114457    0.005896   37.617188   36.000000   -1.617187   -0.166517 
 186.000000  422.000000    2.120365    0.005908   37.441406   39.600000    2.158594    0.253525 
 187.000000  423.000000    2.126268    0.005903   37.001953   41.400000    4.398047    0.612061 
 188.000000  424.000000    2.132167    0.005900   36.562500   43.200000    6.637500    0.810081 
 189.000000  425.000000    2.138066    0.005899   36.210938   45.000000    8.789062    0.997600 
 190.000000  426.000000    2.143972    0.005905   37.529297   46.800000    9.270703    1.167117 
 191.000000  428.000000    2.149871    0.005899   44.736328   50.400000    5.663672    1.033603 
 192.000000  429.000000    2.155892    0.006021   50.185547   52.200000    2.014453    0.279028 
 193.000000  430.000000    2.161790    0.005898   56.425781   54.000000   -2.425781   -0.135014 
 194.000000  431.000000    2.167687    0.005897   60.468750   55.800000   -4.668750   -0.606061 
 195.000000  432.000000    2.173580    0.005892   63.632812   57.600000   -6.032812   -0.510051 
 196.000000  433.000000    2.179476    0.005896   65.478516   59.400000   -6.078516   -0.511551 
 197.000000  435.000000    2.185378    0.005902   64.599609   63.000000   -1.599609   -0.351035 
 198.000000  436.000000    2.191295    0.005917   62.929688   64.800000    1.870313    0.397540 
 199.000000  437.000000    2.197242    0.005946   61.435547   66.600000    5.164453    0.763576 
 200.000000  438.000000    2.203144    0.005902   61.523437   68.400000    6.876562    1.015602 
 201.000000  439.000000    2.209093    0.005950   63.369141   70.200000    6.830859    0.955596 
 202.000000  441.000000    2.215048    0.005954   70.664062   73.800000    3.135938    0.723072 
 203.000000  442.000000    2.220995    0.005947   75.234375   75.600000    0.365625    0.129013 
 204.000000  443.000000    2.227076    0.006082   80.419922   77.400000   -3.019922   -0.157516 
 205.000000  444.000000    2.233012    0.005935   82.968750   79.200000   -3.768750   -0.519052 
 206.000000  445.000000    2.238914    0.005902   85.341797   81.000000   -4.341797   -0.241524 
 207.000000  447.000000    2.244864    0.005950   87.451172   84.600000   -2.851172   -0.315032 
