   step_cpu      sn_cpu cputime_cpu cputimediff_cpu   angle_cpu     ref_cpu   error_cpu       v_cpu 
   0.000000  200.000000    1.011800    1.011797   -0.000000    0.000000    0.000000    0.000000 
   1.000000  201.000000    1.015169    0.003369   -0.000000   -1.800000   -1.800000    0.000000 
   2.000000  202.000000    1.020161    0.004992   -0.000000   -3.600000   -3.600000   -0.067507 
   3.000000  203.000000    1.025145    0.004984   -0.000000   -5.400000   -5.400000   -0.120012 
   4.000000  204.000000    1.030137    0.004992   -0.000000   -7.200000   -7.200000   -0.177018 
   5.000000  205.000000    1.035150    0.005012   -0.000000   -9.000000   -9.000000   -0.234023 
   6.000000  206.000000    1.040145    0.004995   -0.000000  -10.800000  -10.800000   -0.292529 
   7.000000  207.000000    1.045150    0.005006   -0.000000  -12.600000  -12.600000   -0.352535 
   8.000000  208.000000    1.050142    0.004991   -0.000000  -14.400000  -14.400000   -0.412541 
   9.000000  209.000000    1.055148    0.005006   -0.000000  -16.200000  -16.200000   -0.474047 
  10.000000  210.000000    1.060142    0.004994   -0.000000  -18.000000  -18.000000   -0.537054 
  11.000000  211.000000    1.065150    0.005008   -0.000000  -19.800000  -19.800000   -0.600060 
  12.000000  212.000000    1.070142    0.004993   -0.000000  -21.600000  -21.600000   -0.664566 
  13.000000  213.000000    1.075148    0.005006   -0.000000  -23.400000  -23.400000   -0.729073 
  14.000000  214.000000    1.080142    0.004994   -0.000000  -25.200000  -25.200000   -0.795080 
  15.000000  215.000000    1.085149    0.005007   -0.000000  -27.000000  -27.000000   -0.862586 
  16.000000  216.000000    1.090140    0.004991   -0.000000  -28.800000  -28.800000   -0.930093 
  17.000000  217.000000    1.095147    0.005008   -0.000000  -30.600000  -30.600000   -0.999100 
  18.000000  218.000000    1.100143    0.004995   -0.000000  -32.400000  -32.400000   -1.069607 
  19.000000  219.000000    1.105149    0.005006   -0.000000  -34.200000  -34.200000   -1.140114 
