   step_cpu      sn_cpu cputime_cpu cputimediff_cpu   angle_cpu     ref_cpu   error_cpu       v_cpu 
   0.000000  200.000000    1.003257    1.003253   -0.000000    0.000000    0.000000    0.000000 
   1.000000  202.000000    1.015340    0.012083   -0.000000   -3.600000   -3.600000   -0.118512 
   2.000000  203.000000    1.020257    0.004917   -0.000000   -5.400000   -5.400000   -0.159016 
   3.000000  204.000000    1.025192    0.004935   -0.000000   -7.200000   -7.200000   -0.219022 
   4.000000  205.000000    1.030220    0.005028   -0.000000   -9.000000   -9.000000   -0.276028 
   5.000000  206.000000    1.035232    0.005012   -0.000000  -10.800000  -10.800000   -0.334533 
   6.000000  207.000000    1.040236    0.005004   -0.000000  -12.600000  -12.600000   -0.394539 
   7.000000  208.000000    1.045230    0.004994   -0.000000  -14.400000  -14.400000   -0.454545 
   8.000000  209.000000    1.050245    0.005015   -0.000000  -16.200000  -16.200000   -0.516052 
   9.000000  210.000000    1.055254    0.005009   -0.439453  -18.000000  -17.560547   -0.579058 
  10.000000  211.000000    1.060321    0.005067   -1.230469  -19.800000  -18.569531   -0.534053 
  11.000000  212.000000    1.065259    0.004938   -1.845703  -21.600000  -19.754297   -0.520552 
  12.000000  213.000000    1.070226    0.004967   -2.724609  -23.400000  -20.675391   -0.616562 
  13.000000  214.000000    1.075218    0.004992   -3.691406  -25.200000  -21.508594   -0.586559 
  14.000000  215.000000    1.080212    0.004994   -5.273438  -27.000000  -21.726562   -0.619562 
  15.000000  216.000000    1.085262    0.005050   -7.734375  -28.800000  -21.065625   -0.505551 
  16.000000  217.000000    1.090262    0.005000  -10.371094  -30.600000  -20.228906   -0.339034 
  17.000000  218.000000    1.095244    0.004982  -12.744141  -32.400000  -19.655859   -0.324032 
  18.000000  219.000000    1.100235    0.004991  -14.941406  -34.200000  -19.258594   -0.375038 
  19.000000  220.000000    1.105255    0.005020  -16.962891  -36.000000  -19.037109   -0.397540 
  20.000000  221.000000    1.110270    0.005016  -18.808594  -37.800000  -18.991406   -0.433543 
  21.000000  222.000000    1.115243    0.004973  -20.478516  -39.600000  -19.121484   -0.472547 
  22.000000  223.000000    1.120262    0.005019  -21.972656  -41.400000  -19.427344   -0.517552 
  23.000000  224.000000    1.125232    0.004969  -24.082031  -43.200000  -19.117969   -0.567057 
  24.000000  225.000000    1.130219    0.004988  -26.103516  -45.000000  -18.896484   -0.427543 
  25.000000  226.000000    1.135218    0.004999  -28.652344  -46.800000  -18.147656   -0.483048 
  26.000000  227.000000    1.140354    0.005136  -31.201172  -48.600000  -17.398828   -0.345035 
  27.000000  228.000000    1.145242    0.004888  -34.892578  -50.400000  -15.507422   -0.361536 
  28.000000  229.000000    1.150222    0.004980  -36.738281  -52.200000  -15.461719   -0.060006 
  29.000000  230.000000    1.155236    0.005015  -38.144531  -54.000000  -15.855469   -0.523552 
  30.000000  231.000000    1.160232    0.004995  -39.462891  -55.800000  -16.337109   -0.531053 
  31.000000  232.000000    1.165231    0.004999  -41.308594  -57.600000  -16.291406   -0.576058 
  32.000000  233.000000    1.170254    0.005023  -43.681641  -59.400000  -15.718359   -0.465047 
  33.000000  234.000000    1.175231    0.004976  -46.142578  -61.200000  -15.057422   -0.370537 
  34.000000  235.000000    1.180229    0.004998  -48.691406  -63.000000  -14.308594   -0.360036 
  35.000000  236.000000    1.185272    0.005044  -51.064453  -64.800000  -13.735547   -0.325533 
  36.000000  237.000000    1.190226    0.004953  -53.261719  -66.600000  -13.338281   -0.358536 
  37.000000  238.000000    1.195262    0.005036  -55.195312  -68.400000  -13.204687   -0.381038 
