       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000004    0.000001    0.000000    0.001515    0.001515    0.000000    0.000000    0.000000    0.000000    0.000000   -0.000373
   1.000000    0.005340    0.005336    0.000000    1.922505    1.922505    0.000000    0.000000    0.000000    0.000000    0.000000   -0.472448
   2.000000    0.010469    0.005128    0.087891    3.768705    3.680814    0.000000    0.000000    0.000000    0.000000    0.000000   -0.394818
   3.000000    0.015617    0.005148    0.087891    5.622030    5.534139    0.000000    0.000000    0.000000    0.000000    0.000000   -0.504578
   4.000000    0.023232    0.007615    0.527344    8.363475    7.836131    0.000000    0.000000    0.000000    0.000000    0.000000   -0.662131
   5.000000    0.028476    0.005244    1.669922   10.251375    8.581453    0.000000    0.000000    0.000000    0.000000    0.000000   -0.333540
   6.000000    0.033733    0.005257    2.548828   12.144060    9.595232    0.000000    0.000000    0.000000    0.000000    0.000000   -0.510140
   7.000000    0.038965    0.005231    3.076172   14.027325   10.951153    0.000000    0.000000    0.000000    0.000000    0.000000   -0.597068
   8.000000    0.044231    0.005266    3.427734   15.923085   12.495351    0.000000    0.000000    0.000000    0.000000    0.000000   -0.680871
   9.000000    0.049494    0.005263    3.427734   17.817675   14.389941    0.000000    0.000000    0.000000    0.000000    0.000000   -0.813333
  10.000000    0.054758    0.005264    3.251953   19.712850   16.460897    0.000000    0.000000    0.000000    0.000000    0.000000   -0.905926
  11.000000    0.060028    0.005270    4.130859   21.610005   17.479146    0.000000    0.000000    0.000000    0.000000    0.000000   -0.713525
  12.000000    0.065306    0.005278    5.888672   23.510085   17.621413    0.000000    0.000000    0.000000    0.000000    0.000000   -0.592730
  13.000000    0.070567    0.005261    8.525391   25.404135   16.878744    0.000000    0.000000    0.000000    0.000000    0.000000   -0.420261
  14.000000    0.075895    0.005328   11.162109   27.322140   16.160031    0.000000    0.000000    0.000000    0.000000    0.000000   -0.449872
  15.000000    0.081155    0.005260   13.710938   29.215890   15.504953    0.000000    0.000000    0.000000    0.000000    0.000000   -0.442267
  16.000000    0.086428    0.005272   15.996094   31.113945   15.117851    0.000000    0.000000    0.000000    0.000000    0.000000   -0.495603
  17.000000    0.091681    0.005253   18.017578   33.004995   14.987417    0.000000    0.000000    0.000000    0.000000    0.000000   -0.541632
  18.000000    0.096973    0.005292   19.951172   34.910280   14.959108    0.000000    0.000000    0.000000    0.000000    0.000000   -0.560881
  19.000000    0.102257    0.005284   22.675781   36.812445   14.136664    0.000000    0.000000    0.000000    0.000000    0.000000   -0.369773
  20.000000    0.107547    0.005290   25.488281   38.716890   13.228609    0.000000    0.000000    0.000000    0.000000    0.000000   -0.372029
  21.000000    0.112813    0.005266   27.158203   40.612620   13.454417    0.000000    0.000000    0.000000    0.000000    0.000000   -0.625069
  22.000000    0.118097    0.005285   27.949219   42.515070   14.565851    0.000000    0.000000    0.000000    0.000000    0.000000   -0.800789
  23.000000    0.123373    0.005276   30.761719   44.414445   13.652726    0.000000    0.000000    0.000000    0.000000    0.000000   -0.312724
  24.000000    0.128642    0.005269   33.662109   46.311180   12.649071    0.000000    0.000000    0.000000    0.000000    0.000000   -0.379719
  25.000000    0.133934    0.005292   36.386719   48.216390   11.829671    0.000000    0.000000    0.000000    0.000000    0.000000   -0.380056
  26.000000    0.139161    0.005226   38.935547   50.097885   11.162338    0.000000    0.000000    0.000000    0.000000    0.000000   -0.394468
  27.000000    0.144349    0.005188   41.220703   51.965685   10.744982    0.000000    0.000000    0.000000    0.000000    0.000000   -0.434912
  28.000000    0.149463    0.005114   43.242188   53.806620   10.564432    0.000000    0.000000    0.000000    0.000000    0.000000   -0.475088
  29.000000    0.154583    0.005120   45.175781   55.649880   10.474099    0.000000    0.000000    0.000000    0.000000    0.000000   -0.488011
  30.000000    0.159691    0.005108   46.845703   57.488610   10.642907    0.000000    0.000000    0.000000    0.000000    0.000000   -0.552192
  31.000000    0.164806    0.005115   48.339844   59.330010   10.990166    0.000000    0.000000    0.000000    0.000000    0.000000   -0.594307
  32.000000    0.169915    0.005110   49.746094   61.169580   11.423486    0.000000    0.000000    0.000000    0.000000    0.000000   -0.625776
