       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000008    0.000003   -0.000000    0.002970    0.002970    0.000000    0.000000   -0.000246   -0.000000   -0.000000   -0.000246
   1.000000    0.028605    0.028597   -0.000000   10.297755   10.297755    0.294481  360.000000   -0.853159   -0.016464   -0.232200   -1.101822
   2.000000    0.042641    0.014036   -0.000000   15.350610   15.350610    0.509938  360.000000   -1.271783   -0.028509   -0.232200   -1.532492
   3.000000    0.064623    0.021982   23.466797   23.264310   -0.202487    0.505487 -707.521750    0.016776   -0.028260    0.456352    0.444867
   4.000000    0.086662    0.022039   35.507812   31.198260   -4.309553    0.410509 -186.356559    0.357042   -0.022950    0.120200    0.454292
   5.000000    0.110911    0.024249   25.488281   39.927930   14.439649    0.760658  773.192171   -1.196310   -0.042526   -0.498709   -1.737545
   6.000000    0.120902    0.009991   22.675781   43.524675   20.848894    0.968958  641.504508   -1.727310   -0.054172   -0.413770   -2.195252
   7.000000    0.133635    0.012734   38.671875   48.108735    9.436860    1.089122 -896.221286   -0.781834   -0.060890    0.578063   -0.264661
   8.000000    0.154972    0.021337   76.376953   55.790055  -20.586898    0.649860 -1407.121813    1.705604   -0.036332    0.907594    2.576866
   9.000000    0.166496    0.011524   84.023438   59.938575  -24.084863    0.372314 -303.546164    1.995407   -0.020815    0.195787    2.170379
  10.000000    0.183552    0.017056   56.513672   66.078765    9.565093    0.535457 1972.900454   -0.792458   -0.029936   -1.272521   -2.094915
  11.000000    0.199109    0.015557   35.156250   71.679195   36.522945    1.103635 1732.871704   -3.025889   -0.061701   -1.117702   -4.205293
  12.000000    0.217698    0.018590   60.029297   78.371460   18.342163    1.444609 -978.006919   -1.519630   -0.080764    0.630814   -0.969579
  13.000000    0.230956    0.013257  115.136719   83.144010  -31.992709    1.020479 -3796.828608    2.650564   -0.057052    2.448954    5.000000
  14.000000    0.247195    0.016240  137.373047   88.990335  -48.382712    0.234754 -1009.249565    4.008459   -0.013124    0.650966    4.646301
  15.000000    0.272280    0.025085   45.000000   98.020890   53.020890    1.564776 4042.420059   -4.392728   -0.087482   -2.607361   -5.000000
  16.000000    0.296579    0.024299   23.466797  106.768425   83.301628    3.588898 1246.187164   -6.901457   -0.200645   -0.803791   -5.000000
  17.000000    0.315311    0.018732   75.761719  113.511930   37.750211    4.296034 -2431.748832   -3.127567   -0.240178    1.568478   -1.799268
  18.000000    0.335618    0.020307  149.062500  120.822600  -28.239900    3.722554 -3249.557102    2.339647   -0.208117    2.095964    4.227495
  19.000000    0.344447    0.008829  168.486328  124.001070  -44.485258    3.329790 -1839.982504    3.685559   -0.186159    1.186789    4.686189
  20.000000    0.362542    0.018094  145.195312  130.514940  -14.680372    3.064162 1647.217171    1.216254   -0.171308   -1.062455   -0.017509
  21.000000    0.368801    0.006260  104.326172  132.768465   28.442293    3.242205 6888.834689   -2.356416   -0.181262   -4.443298   -5.000000
  22.000000    0.379735    0.010934   77.871094  136.704540   58.833446    3.885463 2779.625600   -4.874292   -0.217225   -1.792859   -5.000000
  23.000000    0.388430    0.008695   83.935547  139.834905   55.899358    4.371534 -337.427683   -4.631206   -0.244399    0.217641   -4.657964
  24.000000    0.410527    0.022096  161.894531  147.789555  -14.104976    4.059866 -3168.154523    1.168583   -0.226975    2.043460    2.985068
  25.000000    0.419624    0.009097  206.015625  151.064565  -54.951060    3.559963 -4489.937481    4.552640   -0.199027    2.896010    5.000000
  26.000000    0.433641    0.014018  208.828125  156.110865  -52.717260    2.820999  159.357945    4.367572   -0.157714   -0.102786    4.107073
  27.000000    0.442179    0.008538  194.853516  159.184515  -35.669001    2.516460 1996.770347    2.955141   -0.140688   -1.287917    1.526536
  28.000000    0.450419    0.008240  154.775391  162.150975    7.375584    2.577236 5223.751548   -0.611060   -0.144086   -3.369320   -4.124465
  29.000000    0.476356    0.025937  130.517578  171.488250   40.970672    3.639887 1295.263500   -3.394379   -0.203495   -0.835445   -4.433319
  30.000000    0.486738    0.010381  143.085938  175.225530   32.139592    3.973539 -850.669128   -2.662733   -0.222149    0.548682   -2.336200
  31.000000    0.502962    0.016224  191.865234  178.933650  -12.931584    3.763730 -2777.970146    1.071369   -0.210419    1.791791    2.652741
  32.000000    0.525824    0.022862  232.031250  170.703255  -61.327995    2.361637 -2116.873860    5.080963   -0.132032    1.365384    5.000000
  33.000000    0.544113    0.018288  191.601562  164.119485  -27.482077    1.859038 1850.691974    2.276863   -0.103933   -1.193696    0.979233
  34.000000    0.555987    0.011875  153.457031  159.844575    6.387544    1.934888 2852.238679   -0.529202   -0.108174   -1.839694   -2.477069
  35.000000    0.574790    0.018803  127.705078  153.075630   25.370552    2.411921 1009.593508   -2.101925   -0.134843   -0.651188   -2.887956
  36.000000    0.591238    0.016448  154.775391  147.154185   -7.621206    2.286564 -2005.765874    0.631409   -0.127835    1.293719    1.797293
  37.000000    0.607084    0.015846  193.623047  141.449745  -52.173302    1.459843 -2811.626599    4.322506   -0.081615    1.813499    5.000000
  38.000000    0.632633    0.025549  138.515625  132.252255   -6.263370    1.299823 1796.965798    0.518914   -0.072669   -1.159043   -0.712798
  39.000000    0.644496    0.011863   99.140625  127.981455   28.840830    1.641972 2959.050388   -2.389434   -0.091798   -1.908588   -4.389819
  40.000000    0.665926    0.021430  118.652344  120.266580    1.614236    1.676565 -1270.477339   -0.133738   -0.093732    0.819458    0.591988
  41.000000    0.683022    0.017095  157.939453  114.112215  -43.827238    0.927318 -2658.102050    3.631043   -0.051844    1.714476    5.000000
  42.000000    0.704403    0.021382  140.625000  106.414815  -34.210185    0.195848  449.780357    2.834280   -0.010949   -0.290108    2.533222
  43.000000    0.718361    0.013958  109.160156  101.389935   -7.770221    0.087391 1894.251594    0.643755   -0.004886   -1.221792   -0.582923
  44.000000    0.742244    0.023883   70.048828   92.792085   22.743257    0.630566 1277.627771   -1.884256   -0.035253   -0.824070   -2.743579
  45.000000    0.753846    0.011602   76.728516   88.615500   11.886984    0.768474 -935.754474   -0.984825   -0.042963    0.603562   -0.424226
  46.000000    0.766904    0.013058  100.019531   83.914560  -16.104971    0.558173 -2143.635913    1.334281   -0.031206    1.382645    2.685720
  47.000000    0.789012    0.022108  100.107422   75.955680  -24.151742    0.024226 -363.975512    2.000948   -0.001354    0.234764    2.234357
  48.000000    0.813415    0.024403   52.119141   67.170780   15.051639    0.391524 1606.531349   -1.247013   -0.021889   -1.036213   -2.305115
