       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000008    0.000003   -0.000000    0.002970    0.002970    0.000000    0.000000   -0.000246   -0.000000   -0.000000   -0.000246
   1.000000    0.028850    0.028842   -0.000000   10.385955   10.385955    0.299548  360.000000   -0.860466   -0.016747   -0.232200   -1.109413
   2.000000    0.042869    0.014019    2.636719   15.432945   12.796226    0.478943  171.923781   -1.060155   -0.026776   -0.110891   -1.197822
   3.000000    0.064664    0.021794   18.808594   23.278935    4.470341    0.576372 -382.019160   -0.370363   -0.032223    0.246402   -0.156184
   4.000000    0.086784    0.022121   38.583984   31.242390   -7.341595    0.413971 -533.976387    0.608244   -0.023144    0.344415    0.929515
   5.000000    0.111164    0.024379   43.769531   40.019010   -3.750521    0.322535  147.298883    0.310727   -0.018032   -0.095008    0.197687
   6.000000    0.121109    0.009945   37.880859   43.599330    5.718471    0.379407  952.103983   -0.473770   -0.021212   -0.614107   -1.109088
   7.000000    0.133792    0.012683   34.189453   48.165045   13.975592    0.556653  651.062040   -1.157864   -0.031121   -0.419935   -1.608920
   8.000000    0.155198    0.021406   52.119141   55.871295    3.752154    0.636972 -477.591241   -0.310862   -0.035611    0.308046   -0.038427
   9.000000    0.166914    0.011716   66.972656   60.089100   -6.883556    0.556324 -907.783984    0.570296   -0.031102    0.585521    1.124714
  10.000000    0.184037    0.017123   82.089844   66.253275  -15.836569    0.285159 -522.873586    1.312044   -0.015942    0.337253    1.633355
  11.000000    0.199582    0.015545   70.839844   71.849520    1.009676    0.300854 1083.699552   -0.083651   -0.016820   -0.698986   -0.799457
  12.000000    0.218159    0.018577   50.888672   78.537150   27.648478    0.814473 1433.986132   -2.290649   -0.045535   -0.924921   -3.261105
  13.000000    0.231431    0.013272   52.910156   83.315205   30.405049    1.218021  207.692340   -2.519028   -0.068096   -0.133962   -2.721085
  14.000000    0.247724    0.016293   95.009766   89.180625   -5.829141    1.123047 -2223.934260    0.482938   -0.062786    1.434438    1.854590
  15.000000    0.272846    0.025122  137.373047   98.224680  -39.148367    0.139547 -1326.276924    3.243403   -0.007802    0.855449    4.091050
  16.000000    0.297165    0.024319   80.419922  106.979520   26.559598    0.785450 2701.918870   -2.200436   -0.043912   -1.742738   -3.987086
  17.000000    0.315861    0.018696   27.685547  113.709915   86.024368    2.393722 3180.692494   -7.127033   -0.133826   -2.051547   -5.000000
  18.000000    0.336186    0.020325   58.271484  121.027005   62.755521    3.669244 -1144.824664   -5.199232   -0.205136    0.738412   -4.665957
  19.000000    0.344984    0.008798  104.414062  124.194120   19.780057    3.843260 -4884.940390   -1.638758   -0.214865    3.150787    1.297163
  20.000000    0.363110    0.018127  192.832031  130.719705  -62.112326    2.717373 -4517.795439    5.145944   -0.151920    2.913978    5.000000
  21.000000    0.369484    0.006374  203.291016  133.014345  -70.276671    2.269430 -1280.882393    5.822352   -0.126877    0.826169    5.000000
  22.000000    0.380312    0.010828  202.236328  136.912245  -65.324083    1.562133  457.408220    5.412035   -0.087334   -0.295028    5.000000
  23.000000    0.389029    0.008717  172.089844  140.050440  -32.039404    1.282839 3818.272524    2.654433   -0.071720   -2.462786    0.119927
  24.000000    0.411089    0.022060   92.285156  147.992160   55.707004    2.511754 3977.564952   -4.615270   -0.140425   -2.565529   -5.000000
  25.000000    0.420253    0.009164   70.751953  151.291200   80.539247    3.249816 2709.760271   -6.672596   -0.181687   -1.747795   -5.000000
  26.000000    0.434246    0.013993   92.724609  156.328515   63.603906    4.139796 -1210.311974   -5.269520   -0.231444    0.780651   -4.720312
  27.000000    0.442987    0.008741  135.263672  159.475410   24.211738    4.351440 -4506.404027   -2.005918   -0.243276    2.906631    0.657436
  28.000000    0.451142    0.008155  160.312500  162.411060    2.098560    4.368553 -2711.748503   -0.173864   -0.244233    1.749078    1.330982
  29.000000    0.477103    0.025961  237.041016  171.757095  -65.283921    2.673703 -2595.506370    5.408708   -0.149479    1.674102    5.000000
  30.000000    0.487589    0.010486  231.767578  175.531950  -56.235628    2.084033  862.916636    4.659066   -0.116512   -0.556581    3.985972
  31.000000    0.503835    0.016246  183.779297  178.619520   -5.159777    2.000207 3143.919462    0.427482   -0.111826   -2.027828   -1.712171
  32.000000    0.526595    0.022760  115.136719  170.425845   55.289126    3.258600 2655.902803   -4.580649   -0.182179   -1.713057   -5.000000
  33.000000    0.544821    0.018226  124.277344  163.864350   39.587006    3.980127 -861.505373   -3.279744   -0.222517    0.555671   -2.946590
  34.000000    0.556714    0.011893  161.191406  159.583050   -1.608356    3.961000 -3463.978348    0.133251   -0.221448    2.234266    2.146069
  35.000000    0.575510    0.018796  237.041016  152.816415  -84.224601    2.377897 -4395.367632    6.977924   -0.132941    2.835012    5.000000
  36.000000    0.591994    0.016484  235.986328  146.882280  -89.104048    0.909132 -296.016368    7.382181   -0.050827    0.190931    5.000000
  37.000000    0.607820    0.015826  150.820312  141.184770   -9.635542    0.756635 5021.256896    0.798295   -0.042301   -3.238711   -2.482717
  38.000000    0.633309    0.025489   51.767578  132.008820   80.241242    2.801884 3526.135427   -6.647907   -0.156645   -2.274357   -5.000000
  39.000000    0.645117    0.011809   53.876953  127.757715   73.880762    3.674315 -538.630027   -6.120947   -0.205420    0.347416   -5.000000
  40.000000    0.666569    0.021451  126.650391  120.035190   -6.615200    3.532409 -3752.470456    0.548063   -0.197486    2.420343    2.770920
  41.000000    0.683141    0.016572  234.492187  114.069405 -120.422782    1.536808 -6867.617501    9.976907   -0.085918    4.429613    5.000000
  42.000000    0.704510    0.021369  233.525391  106.376550 -127.148841   -1.180241 -314.757126   10.534154    0.065984    0.203018    5.000000
  43.000000    0.718483    0.013974  168.046875  101.346045  -66.700830   -2.112294 4325.864665    5.526097    0.118092   -2.790183    2.854006
  44.000000    0.742380    0.023897   18.720703   92.743020   74.022317   -0.343361 5888.664990   -6.132675    0.019196   -3.798189   -5.000000
  45.000000    0.754017    0.011637  -35.156250   88.553775  123.710025    1.096227 4269.880620  -10.249252   -0.061287   -2.754073   -5.000000
  46.000000    0.767131    0.013114  -44.736328   83.832870  128.569198    2.782235  370.543852  -10.651830   -0.155546   -0.239001   -5.000000
  47.000000    0.789271    0.022140   33.837891   75.862575   42.024684    3.712650 -3909.017684   -3.481703   -0.207563    2.521316   -1.167950
  48.000000    0.813631    0.024361  165.937500   67.092720  -98.844780    1.304721 -5782.650662    8.189191   -0.072943    3.729810    5.000000
  49.000000    0.821122    0.007491  185.888672   64.395960 -121.492712    0.394619 -3023.352273   10.065550   -0.022062    1.950062    5.000000
  50.000000    0.846140    0.025017  172.265625   55.389705 -116.875920   -2.529310  184.543417    9.683053    0.141406   -0.119031    5.000000
  51.000000    0.862626    0.016487   63.281250   49.454475  -13.826775   -2.757268 6250.422006    1.145534    0.154151   -4.031522   -2.731837
  52.000000    0.870308    0.007681   28.037109   46.689270   18.652161   -2.613999 4228.408680   -1.545313    0.146141   -2.727324   -4.126496
  53.000000    0.880118    0.009811  -24.609375   43.157400   67.766775   -1.949156 5006.203845   -5.614410    0.108971   -3.229001   -5.000000
  54.000000    0.899358    0.019240  -21.884766   36.231150   58.115916   -0.831030 -501.614783   -4.814846    0.046460    0.323542   -4.444844
  55.000000    0.923228    0.023870   98.876953   27.637995  -71.238958   -2.531495 -5419.168460    5.902076    0.141528    3.495364    5.000000
  56.000000    0.936179    0.012951  156.796875   22.975515 -133.821360   -4.264660 -4832.120160   11.086966    0.238424    3.116718    5.000000
  57.000000    0.943479    0.007299  175.869141   20.347725 -155.521415   -5.399876 -2972.848155   12.884794    0.301891    1.917487    5.000000
  58.000000    0.949825    0.006346  170.507812   18.063150 -152.444662   -6.367296  484.830230   12.629888    0.355976   -0.312715    5.000000
  59.000000    0.964993    0.015168  117.597656   12.602640 -104.995016   -7.959869 3128.255981    8.698732    0.445012   -2.017725    5.000000
  60.000000    0.972217    0.007225   61.875000   10.001700  -51.873300   -8.334645 7352.655578    4.297651    0.465965   -4.742463    0.021153
  61.000000    0.982959    0.010741   -2.460938    6.134880    8.595818   -8.242316 5629.660480   -0.712155    0.460803   -3.631131   -3.882483
  62.000000    1.008534    0.025575  -57.041016   -3.072165   53.968851   -6.862056 1774.107971   -4.471265    0.383637   -1.144300   -5.000000
  63.000000    1.032583    0.024049   36.562500  -11.729715  -48.292215   -8.023423 -4252.240371    4.000962    0.448566    2.742695    5.000000
  64.000000    1.055572    0.022989  113.378906  -20.005815 -133.384721  -11.089827 -3701.417558   11.050791    0.619999    2.387414    5.000000
  65.000000    1.066931    0.011359   95.537109  -24.095175 -119.632284  -12.448770 1210.672933    9.911415    0.695973   -0.780884    5.000000
  66.000000    1.083744    0.016813   -1.494141  -30.147930  -28.653789  -12.930532 5411.132090    2.373938    0.722907   -3.490180   -0.393335
  67.000000    1.097238    0.013494  -92.021484  -35.005830   57.015655  -12.161153 6348.628288   -4.723690    0.679894   -4.094865   -5.000000
  68.000000    1.118410    0.021171 -123.837891  -42.627480   81.210411  -10.441827 1142.811891   -6.728201    0.583771   -0.737114   -5.000000
  69.000000    1.134633    0.016223  -69.082031  -48.467865   20.614166  -10.107398 -3735.138620   -1.707863    0.565074    2.409164    1.266376
  70.000000    1.153978    0.019345   16.171875  -55.432020  -71.603895  -11.492566 -4767.053871    5.932311    0.642515    3.074750    5.000000
  71.000000    1.170593    0.016615   21.796875  -61.413495  -83.210370  -12.875124 -698.545265    6.893896    0.719810    0.450562    5.000000
  72.000000    1.177475    0.006882  -10.898438  -63.891150  -52.992712  -13.239839 4390.585735    4.390393    0.740200   -2.831928    2.298665
  73.000000    1.192209    0.014733  -84.726562  -69.195165   15.531398  -13.011009 4650.944539   -1.286761    0.727407   -2.999859   -3.559213
  74.000000    1.216910    0.024702 -144.755859  -78.087750   66.668110  -11.364199 2070.176026   -5.523386    0.635338   -1.335264   -5.000000
  75.000000    1.241620    0.024710  -84.111328  -86.983290   -2.871962  -11.435164 -2814.267044    0.237939    0.639306    1.815202    2.692447
  76.000000    1.262008    0.020388   17.753906  -94.323045 -112.076951  -13.720213 -5356.281889    9.285463    0.767056    3.454802    5.000000
  77.000000    1.273666    0.011658   31.904297  -98.519820 -130.424117  -15.240659 -1573.822702   10.805508    0.852060    1.015116    5.000000
  78.000000    1.294411    0.020744  -37.792969 -105.987840  -68.194871  -16.655327 2999.794916    5.649877    0.931149   -1.934868    4.646159
  79.000000    1.313197    0.018786 -164.267578 -112.750875   51.516703  -15.687524 6372.311419   -4.268107    0.877042   -4.110141   -5.000000
  80.000000    1.326379    0.013182 -231.767578 -117.496380  114.271198  -14.181206 4760.635341   -9.467255    0.792829   -3.070610   -5.000000
