       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000010    0.000003   -0.000000    0.005490    0.005490    0.000000    0.000000   -0.000455   -0.000000   -0.000000   -0.000455
   1.000000    0.027768    0.027759   -0.000000   15.682666   15.682666    0.435328  564.769454   -1.299293   -0.024338   -0.364276   -1.687907
   2.000000    0.041762    0.013994   -0.000000   23.548022   23.548022    0.764847  562.072073   -1.950930   -0.042760   -0.362536   -2.356227
   3.000000    0.063643    0.021882    7.646484   35.750101   28.103616    1.379796  208.193875   -2.328356   -0.077140   -0.134285   -2.539782
   4.000000    0.085816    0.022173   10.371094   47.942302   37.571209    2.212869  426.984219   -3.112737   -0.123715   -0.275405   -3.511857
   5.000000    0.110327    0.024510   10.107422   61.146709   51.039287    3.463865  549.482946   -4.228554   -0.193654   -0.354416   -4.776625
   6.000000    0.120348    0.010021   10.283203   66.445416   56.162213    4.026681  511.206216   -4.652983   -0.225120   -0.329728   -5.000000
   7.000000    0.133058    0.012710   22.939453   73.070311   50.130857    4.663836 -474.542394   -4.153291   -0.260741    0.306080   -4.107953
   8.000000    0.154391    0.021333  114.082031   83.923006  -30.159025    4.020443 -3763.588300    2.498645   -0.224771    2.427514    4.701389
   9.000000    0.165917    0.011526  135.527344   89.632845  -45.894499    3.491456 -1365.195736    3.802313   -0.195197    0.880551    4.487668
  10.000000    0.182979    0.017062  126.474609   97.866901  -28.607708    3.003365 1013.204627    2.370120   -0.167909   -0.653517    1.548694
  11.000000    0.198573    0.015594   95.712891  105.147219    9.434328    3.150480 2439.602189   -0.781625   -0.176134   -1.573543   -2.531302
  12.000000    0.217168    0.018595   67.939453  113.497757   45.558304    3.997650 1942.640951   -3.774460   -0.223497   -1.253003   -5.000000
  13.000000    0.230430    0.013262   59.062500  119.218459   60.155959    4.795456 1100.688701   -4.983861   -0.268100   -0.709944   -5.000000
  14.000000    0.246671    0.016241   69.697266  125.941152   56.243886    5.708908 -240.877590   -4.659750   -0.319168    0.155366   -4.823552
  15.000000    0.271744    0.025073  100.986328  135.670309   34.683981    6.578554 -859.871047   -2.873533   -0.367787    0.554617   -2.686704
  16.000000    0.296117    0.024373  110.830078  144.321691   33.491612    7.394839  -48.922038   -2.774747   -0.413423    0.031555   -3.156615
  17.000000    0.314955    0.018838  109.335938  150.431469   41.095532    8.169002  403.645221   -3.404724   -0.456704   -0.260351   -4.121779
  18.000000    0.335277    0.020321  108.720703  156.431176   47.710472    9.138549  325.515053   -3.952765   -0.510909   -0.209957   -4.673631
  19.000000    0.344117    0.008840  108.808594  158.843431   50.034837    9.580842  262.945876   -4.145336   -0.535636   -0.169600   -4.850572
  20.000000    0.362280    0.018164  152.138672  163.413707   11.275035    9.785638 -2133.914602   -0.934125   -0.547086    1.376375   -0.104836
  21.000000    0.368603    0.006323  165.058594  164.880464   -0.178130    9.784512 -1811.469013    0.014758   -0.547023    1.168398    0.636133
  22.000000    0.379465    0.010862  189.755859  167.248082  -22.507777    9.540037 -2055.797959    1.864747   -0.533355    1.325990    2.657382
  23.000000    0.388215    0.008750  191.250000  169.013941  -22.236059    9.345465   31.052517    1.842235   -0.522477   -0.020029    1.299729
  24.000000    0.410255    0.022040  147.656250  172.893045   25.236795    9.901687 2153.928509   -2.090843   -0.553574   -1.389284   -4.033701
  25.000000    0.419347    0.009092  134.560547  174.252717   39.692170   10.262552 1589.973431   -3.288457   -0.573749   -1.025533   -4.887738
  26.000000    0.433332    0.013985  147.392578  176.066426   28.673848   10.663570 -787.838998   -2.375600   -0.596168    0.508156   -2.463612
  27.000000    0.441875    0.008543  182.900391  177.007353   -5.893038   10.613225 -4046.104877    0.488232   -0.593354    2.609738    2.504616
  28.000000    0.449998    0.008123  227.548828  177.783765  -49.765063   10.208979 -5400.907536    4.122986   -0.570753    3.483585    5.000000
  29.000000    0.475935    0.025937  257.080078  179.485840  -77.594238    8.196433 -1072.961368    6.428605   -0.458238    0.692060    5.000000
  30.000000    0.486271    0.010336  258.837891  179.832604  -79.005287    7.379844 -136.519514    6.545509   -0.412585    0.088055    5.000000
  31.000000    0.502490    0.016219  232.822266  179.994493  -52.827773    6.523042 1614.023657    4.376728   -0.364684   -1.041045    2.970999
  32.000000    0.525234    0.022745  171.650391  179.434671    7.784280    6.700091 2664.910323   -0.644920   -0.374582   -1.718867   -2.738369
  33.000000    0.543442    0.018208  154.951172  178.326229   23.375057    7.125704  856.259721   -1.936600   -0.398377   -0.552288   -2.887264
  34.000000    0.555316    0.011874  163.125000  177.288860   14.163860    7.293881 -775.766814   -1.173462   -0.407779    0.500370   -1.080871
  35.000000    0.574078    0.018762  179.208984  175.147603   -4.061382    7.217683 -971.410641    0.336481   -0.403519    0.626560    0.559522
  36.000000    0.590503    0.016426  191.953125  172.773219  -19.179906    6.902639 -920.416092    1.589036   -0.385906    0.593668    1.796799
  37.000000    0.606469    0.015966  195.820312  170.024458  -25.795854    6.490792 -414.387027    2.137161   -0.362881    0.267280    2.041560
  38.000000    0.631925    0.025456  184.042969  164.760542  -19.282427    5.999944  255.872954    1.597530   -0.335439   -0.165038    1.097053
  39.000000    0.643789    0.011865  181.230469  161.944973  -19.285496    5.771130   -0.258664    1.597784   -0.322647    0.000167    1.275304
  40.000000    0.665215    0.021426  173.232422  156.293341  -16.939081    5.408196  109.513343    1.403386   -0.302356   -0.070636    1.030394
  41.000000    0.681894    0.016679  171.298828  151.402465  -19.896363    5.076349 -177.308386    1.648394   -0.283803    0.114364    1.478954
  42.000000    0.703239    0.021345  170.332031  144.539029  -25.793003    4.525803 -276.256588    2.136924   -0.253024    0.178185    2.062086
  43.000000    0.717259    0.014020  170.859375  139.675251  -31.184124    4.088595 -384.525065    2.583574   -0.228581    0.248019    2.603011
  44.000000    0.741116    0.023857  160.839844  130.781622  -30.058222    3.371501   47.194140    2.490294   -0.188491   -0.030440    2.271363
  45.000000    0.752730    0.011614  158.994141  126.182869  -32.811271    2.990419 -237.038131    2.718381   -0.167185    0.152890    2.704085
  46.000000    0.765742    0.013012  146.865234  120.831371  -26.033863    2.651657  520.844989    2.156880   -0.148246   -0.335945    1.672688
  47.000000    0.787893    0.022150  122.255859  111.262485  -10.993374    2.408153  679.026257    0.910790   -0.134633   -0.437972    0.338186
  48.000000    0.812364    0.024472  111.093750  100.066519  -11.027231    2.138300   -1.383501    0.913595   -0.119546    0.000892    0.794941
  49.000000    0.819712    0.007348  110.302734   96.586231  -13.716503    2.037511 -365.986970    1.136399   -0.113911    0.236062    1.258549
  50.000000    0.844715    0.025003  101.689453   84.369930  -17.319523    1.604479 -144.106148    1.434905   -0.089702    0.092948    1.438152
  51.000000    0.861258    0.016543   98.964844   75.996019  -22.968825    1.224499 -341.485960    1.902944   -0.068458    0.220258    2.054745
  52.000000    0.868934    0.007676   97.822266   72.039622  -25.782644    1.026599 -366.587562    2.136066   -0.057394    0.236449    2.315121
