       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000010    0.000003   -0.000000    0.005395    0.005395    0.000000    0.000000   -0.000447   -0.000000   -0.000000   -0.000447
   1.000000    0.027651    0.027641   -0.000000   15.616473   15.616473    0.431658  564.775512   -1.293809   -0.024133   -0.364280   -1.682222
   2.000000    0.041723    0.014072   -0.000000   23.526320   23.526320    0.762727  562.086668   -1.949132   -0.042642   -0.362546   -2.354320
   3.000000    0.063724    0.022001   15.468750   35.795083   20.326333    1.209935 -145.444869   -1.684016   -0.067644    0.093812   -1.657848
   4.000000    0.085967    0.022242   76.201172   48.024192  -28.176980    0.583215 -2180.683767    2.334435   -0.032606    1.406541    3.708370
   5.000000    0.110414    0.024447  154.248047   61.192867  -93.055179   -1.691705 -2653.830708    7.709529    0.094578    1.711721    5.000000
   6.000000    0.120590    0.010177  170.859375   66.572710 -104.286665   -2.753000 -1103.646084    8.640046    0.153912    0.711852    5.000000
   7.000000    0.133489    0.012899  157.060547   73.293241  -83.767306   -3.833521 1590.761007    6.940038    0.214321   -1.026041    5.000000
   8.000000    0.155060    0.021571   34.277344   84.257433   49.980090   -2.755415 6200.417530   -4.140800    0.154047   -3.999269   -5.000000
   9.000000    0.167515    0.012455  -36.035156   90.415049  126.450205   -1.180520 6139.876360  -10.476273    0.065999   -3.960220   -5.000000
  10.000000    0.184708    0.017193  -97.207031   98.685858  195.892889    2.187417 4039.067876  -16.229530   -0.122292   -2.605199   -5.000000
  11.000000    0.200347    0.015639  -54.580078  105.960031  160.540109    4.698171 -2260.492214  -13.300587   -0.262661    1.458017   -5.000000
  12.000000    0.218960    0.018613   59.589844  114.282672   54.692828    5.716182 -5686.663029   -4.531246   -0.319575    3.667898   -1.182923
  13.000000    0.232347    0.013387  131.396484  120.028384  -11.368101    5.564002 -4934.845726    0.941836   -0.311067    3.182975    3.813745
  14.000000    0.248598    0.016251  230.361328  126.717335 -103.643993    3.879683 -5678.167051    8.586801   -0.216901    3.662418    5.000000
  15.000000    0.273693    0.025095  266.484375  136.391905 -130.092470    0.615002 -1053.930643   10.778031   -0.034383    0.679785    5.000000
  16.000000    0.298078    0.024385  158.642578  144.981425  -13.661153    0.281880 4774.784001    1.131813   -0.015759   -3.079736   -1.963682
  17.000000    0.316883    0.018806   16.347656  151.027449  134.679793    2.814657 7887.993215  -11.158086   -0.157359   -5.087756   -5.000000
  18.000000    0.337221    0.020338  -79.716797  156.972246  236.689043    7.628419 5015.717942  -19.609451   -0.426482   -3.235138   -5.000000
  19.000000    0.346081    0.008860  -82.705078  159.363024  242.068103    9.773122  607.123039  -20.055100   -0.546386   -0.391594   -5.000000
  20.000000    0.364197    0.018116  -10.722656  163.865244  174.587900   12.935927 -3724.929584  -14.464433   -0.723209    2.402580   -5.000000
  21.000000    0.370609    0.006412   16.435547  165.332403  148.896856   13.890697 -4006.530610  -12.335956   -0.776587    2.584212   -5.000000
  22.000000    0.381452    0.010843   81.035156  167.660330   86.625174   14.829953 -5743.163142   -7.176809   -0.829098    3.704340   -4.301567
  23.000000    0.390317    0.008864  154.335938  169.419081   15.083143   14.963654 -8070.811586   -1.249623   -0.836573    5.205673    3.119477
  24.000000    0.412433    0.022116  308.935547  173.231610 -135.703937   11.962397 -6817.944584   11.242935   -0.668782    4.397574    5.000000
  25.000000    0.421551    0.009118  368.964844  174.560959 -194.403884   10.189847 -6437.897776   16.106167   -0.569684    4.152444    5.000000
  26.000000    0.435554    0.014003  384.082031  176.323344 -207.758687    7.280559 -953.695935   17.212599   -0.407034    0.615134    5.000000
  27.000000    0.444196    0.008642  354.638672  177.240908 -177.397763    5.747517 3513.250020   14.697227   -0.321326   -2.266046    5.000000
  28.000000    0.452357    0.008162  332.578125  177.987565 -154.590560    4.485781 2794.387047   12.807673   -0.250787   -1.802380    5.000000
  29.000000    0.478377    0.026019  173.671875  179.584834    5.912959    4.639632 6168.654821   -0.489883   -0.259388   -3.978782   -4.728053
  30.000000    0.488726    0.010350   95.537109  179.887114   84.350005    5.512616 7578.794655   -6.988314   -0.308194   -4.888323   -5.000000
  31.000000    0.505022    0.016296   18.457031  179.977599  161.520568    8.144701 4735.649276  -13.381818   -0.455346   -3.054494   -5.000000
  32.000000    0.527820    0.022798   74.091797  179.312965  105.221168   10.543546 -2469.475008   -8.717469   -0.589458    1.592811   -5.000000
  33.000000    0.546058    0.018238  195.468750  178.118951  -17.349799   10.227115 -6720.513710    1.437413   -0.571767    4.334731    5.000000
  34.000000    0.558007    0.011949  268.154297  177.019381  -91.134916    9.138136 -6174.960114    7.550437   -0.510886    3.982849    5.000000
  35.000000    0.576837    0.018830  333.720703  174.781125 -158.939579    6.145311 -3600.892943   13.167985   -0.343566    2.322576    5.000000
  36.000000    0.596204    0.019367  268.945312  171.841281  -97.104031    4.264709 3192.851060    8.044972   -0.238427   -2.059389    5.000000
  37.000000    0.612137    0.015933  178.242188  168.945314   -9.296874    4.116581 5510.981521    0.770237   -0.230146   -3.554583   -3.014492
  38.000000    0.637600    0.025463  -13.710938  163.442069  177.153006    8.627383 7322.456538  -14.676949   -0.482331   -4.722984   -5.000000
  39.000000    0.649526    0.011926  -96.591797  160.502620  257.094417   11.693534 6703.026286  -21.300015   -0.653750   -4.323452   -5.000000
  40.000000    0.671040    0.021513  -84.990234  154.633465  239.623699   16.848659 -812.084803  -19.852584   -0.941958    0.523795   -5.000000
  41.000000    0.687606    0.016566  -15.732422  149.631338  165.363760   19.588068 -4482.682784  -13.700222   -1.095110    2.891330   -5.000000
  42.000000    0.709074    0.021469  156.181641  142.548128  -13.633513   19.295374 -8337.589412    1.129523   -1.078746    5.377745    5.000000
  43.000000    0.723199    0.014124  236.162109  137.532411  -98.629699   17.902291 -6017.695365    8.171372   -1.000863    3.881414    5.000000
  44.000000    0.747623    0.024424  304.013672  128.226046 -175.787626   13.608766 -3159.038135   14.563829   -0.760825    2.037580    5.000000
  45.000000    0.759670    0.012046  251.367188  123.354584 -128.012604   12.066668 3965.897832   10.605716   -0.674611   -2.558004    5.000000
  46.000000    0.772744    0.013074  194.150391  117.867979  -76.282411   11.069361 3956.760537    6.319921   -0.618855   -2.552111    3.148956
  47.000000    0.795140    0.022396   11.865234  108.012377   96.147143   13.222705 7699.007968   -7.965695   -0.739242   -4.965860   -5.000000
  48.000000    0.819510    0.024370 -178.681641   96.682722  275.364363   19.933334 7354.009839  -22.813662   -1.114413   -4.743336   -5.000000
  49.000000    0.826917    0.007407 -208.652344   93.123747  301.776091   22.168627 3565.719304  -25.001847   -1.239381   -2.299889   -5.000000
  50.000000    0.851879    0.024962 -211.640625   80.770196  292.410821   29.467750 -375.182945  -24.225944   -1.647453    0.241993   -5.000000
  51.000000    0.868390    0.016511 -140.361328   72.321236  212.682564   32.979387 -4828.747861  -17.620538   -1.843779    3.114542   -5.000000
  52.000000    0.876137    0.007747  -76.113281   68.288694  144.401976   34.098027 -8814.141359  -11.963559   -1.906318    5.685121   -5.000000
  53.000000    0.886010    0.009874   -4.921875   63.090749   68.012624   34.769550 -7736.805743   -5.634778   -1.943861    4.990240   -2.588399
  54.000000    0.905367    0.019357  154.775391   52.728864 -102.046526   32.794260 -8785.521874    8.454453   -1.833429    5.666662    5.000000
  55.000000    0.929296    0.023929  342.246094   39.654110 -302.591984   25.553486 -8380.795594   25.069443   -1.428619    5.405613    5.000000
  56.000000    0.942319    0.013023  388.300781   32.439641 -355.861141   20.919181 -4090.456260   29.482740   -1.169529    2.638344    5.000000
  57.000000    0.949576    0.007257  393.046875   28.394993 -364.651882   18.272887 -1211.339441   30.211044   -1.021582    0.781314    5.000000
  58.000000    0.955994    0.006418  383.906250   24.805333 -359.100917   15.967998  864.838318   29.751152   -0.892723   -0.557821    5.000000
  59.000000    0.971214    0.015219  322.998047   16.256015 -306.742032   11.299589 3440.287764   25.413271   -0.631726   -2.218986    5.000000
  60.000000    0.978449    0.007235  295.136719   12.177683 -282.959036    9.252427 3287.289830   23.442873   -0.517275   -2.120302    5.000000
  61.000000    0.989195    0.010746  194.062500    6.108863 -187.953637    7.232599 8840.658985   15.571771   -0.404353   -5.702225    5.000000
  62.000000    1.014583    0.025388   -5.800781   -8.243631   -2.442850    7.170580 7307.038209    0.202388   -0.400886   -4.713040   -4.911538
  63.000000    1.038613    0.024029 -179.560547  -21.781368  157.779179   10.961935 6667.722142  -13.071847   -0.612849   -4.300681   -5.000000
  64.000000    1.061786    0.023173 -266.044922  -34.720009  231.324913   16.322466 3173.745632  -19.165038   -0.912540   -2.047066   -5.000000
  65.000000    1.073288    0.011503 -240.732422  -41.078450  199.653972   18.619035 -2753.336528  -16.541132   -1.040934    1.775902   -5.000000
  66.000000    1.090068    0.016779 -135.878906  -50.255211   85.623695   20.055744 -6795.876201   -7.093838   -1.121256    4.383340   -3.831754
  67.000000    1.103685    0.013617  -67.060547  -57.601050    9.459497   20.184555 -5593.282911   -0.783710   -1.128458    3.607667    1.695500
  68.000000    1.124870    0.021185  114.257812  -68.814855 -183.072668   16.306221 -9088.279047   15.167387   -0.911632    5.861940    5.000000
  69.000000    1.141108    0.016238  191.425781  -77.206756 -268.632537   11.944032 -5268.951542   22.255937   -0.667755    3.398474    5.000000
  70.000000    1.160449    0.019341  182.548828  -86.938237 -269.487065    6.731804  -44.181532   22.326734   -0.376355    0.028497    5.000000
  71.000000    1.177069    0.016620  113.027344  -95.045370 -208.072714    3.273687 3695.263272   17.238616   -0.183022   -2.383445    5.000000
