       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000009    0.000003   -0.000000    0.003345    0.003345    0.000000    0.000000   -0.000277   -0.000000   -0.000000   -0.000277
   1.000000    0.025845    0.025836   -0.000000    9.304140    9.304140    0.240378  360.000000   -0.770839   -0.013439   -0.232200   -1.016478
   2.000000    0.039906    0.014061   -0.000000   14.366040   14.366040    0.442376  360.000000   -1.190212   -0.024732   -0.232200   -1.447144
   3.000000    0.061714    0.021808    5.185547   22.217070   17.031523    0.813807  122.222683   -1.411045   -0.045497   -0.078834   -1.535376
   4.000000    0.083941    0.022227    2.988281   30.218670   27.230389    1.419047  458.857185   -2.256010   -0.079335   -0.295963   -2.631308
   5.000000    0.108225    0.024284    2.021484   38.960835   36.939351    2.316075  399.812434   -3.060388   -0.129485   -0.257879   -3.447752
   6.000000    0.118153    0.009928    2.109375   42.535095   40.425720    2.717442  351.147643   -3.349230   -0.151924   -0.226490   -3.727645
   7.000000    0.130875    0.012722   11.337891   47.115030   35.777140    3.172600 -365.395784   -2.964100   -0.177371    0.235680   -2.905791
   8.000000    0.152209    0.021334   68.642578   54.795195  -13.847383    2.877183 -2326.099601    1.147242   -0.160855    1.500334    2.486721
   9.000000    0.163737    0.011528   95.712891   58.945170  -36.767720    2.453335 -1988.282083    3.046169   -0.137159    1.282442    4.191452
  10.000000    0.180788    0.017052   94.130859   65.083845  -29.047014    1.958029  452.777554    2.406516   -0.109468   -0.292042    2.005007
  11.000000    0.196360    0.015572   77.255859   70.689735   -6.566124    1.855782 1443.681605    0.543997   -0.103751   -0.931175   -0.490929
  12.000000    0.215000    0.018639   56.250000   77.399880   21.149880    2.250001 1486.966652   -1.752246   -0.125791   -0.959093   -2.837131
  13.000000    0.228266    0.013267   50.097656   82.175850   32.078194    2.675569  823.747393   -2.657646   -0.149583   -0.531317   -3.338546
  14.000000    0.244511    0.016245   60.292969   88.024035   27.731066    3.126059 -267.598576   -2.297491   -0.174769    0.172601   -2.299659
  15.000000    0.269592    0.025080   87.011719   97.052955   10.041236    3.377896 -705.326764   -0.831906   -0.188848    0.454936   -0.565819
  16.000000    0.293939    0.024348   94.570312  105.818130   11.247818    3.651755   49.556264   -0.931870   -0.204159   -0.031964   -1.167993
  17.000000    0.312682    0.018743   96.152344  112.565610   16.413267    3.959389  275.593488   -1.359823   -0.221358   -0.177758   -1.758938
  18.000000    0.333010    0.020328   96.240234  119.883765   23.643531    4.440019  355.676420   -1.958843   -0.248228   -0.229411   -2.436482
  19.000000    0.341865    0.008854   96.152344  123.071370   26.919026    4.678373  369.926144   -2.230214   -0.261554   -0.238602   -2.730371
  20.000000    0.359967    0.018102  120.937500  129.587970    8.650470    4.834961 -1009.219545   -0.716683   -0.270308    0.650947   -0.336044
  21.000000    0.366242    0.006275  129.111328  131.846955    2.735627    4.852127 -942.610810   -0.226644   -0.271268    0.607984    0.110072
  22.000000    0.377103    0.010862  140.449219  135.757230   -4.691989    4.801163 -683.824443    0.388727   -0.268419    0.441067    0.561375
  23.000000    0.385799    0.008696  145.546875  138.887610   -6.659265    4.743257 -226.240728    0.551713   -0.265181    0.145925    0.432457
  24.000000    0.407883    0.022084  135.615234  146.837745   11.222511    4.991092  809.727019   -0.929774   -0.279037   -0.522274   -1.731085
  25.000000    0.416979    0.009097  135.000000  150.112575   15.112575    5.128567  427.632327   -1.252062   -0.286723   -0.275823   -1.814607
  26.000000    0.431006    0.014026  145.107422  155.162025   10.054603    5.269596 -360.607566   -0.833014   -0.294607    0.232592   -0.895029
  27.000000    0.439556    0.008551  163.388672  158.240265   -5.148407    5.225573 -1777.991356    0.426540   -0.292146    1.146804    1.281199
  28.000000    0.447698    0.008141  178.857422  161.171145  -17.686277    5.081583 -1540.026458    1.465290   -0.284096    0.993317    2.174511
  29.000000    0.473640    0.025942  177.539062  170.510250   -7.028812    4.899242  410.819579    0.582330   -0.273902   -0.264979    0.043450
  30.000000    0.484024    0.010384  177.099609  174.248550   -2.851059    4.869636  402.319536    0.236207   -0.272247   -0.259496   -0.295535
