       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000009    0.000003   -0.000000    0.003165    0.003165    0.000000    0.000000   -0.000262   -0.000000   -0.000000   -0.000262
   1.000000    0.007762    0.007753   -0.000000    2.794350    2.794350    0.021665  360.000000   -0.231509   -0.001211   -0.232200   -0.464920
   2.000000    0.013725    0.005963   -0.000000    4.940880    4.940880    0.051126  360.000000   -0.409347   -0.002858   -0.232200   -0.644405
   3.000000    0.019702    0.005977   -0.000000    7.092675    7.092675    0.093520  360.000000   -0.587621   -0.005228   -0.232200   -0.825049
   4.000000    0.025650    0.005948    1.230469    9.233925    8.003456    0.141124  153.126071   -0.663078   -0.007890   -0.098766   -0.769734
   5.000000    0.031606    0.005956    2.373047   11.378100    9.005053    0.194759  168.164864   -0.746060   -0.010888   -0.108466   -0.865414
   6.000000    0.037522    0.005916    4.394531   13.507755    9.113224    0.248670   18.285302   -0.755021   -0.013902   -0.011794   -0.780718
   7.000000    0.043529    0.006008   11.337891   15.670620    4.332729    0.274701 -795.693535   -0.358962   -0.015358    0.513222    0.138902
   8.000000    0.049456    0.005926   16.083984   17.804025    1.720041    0.284894 -440.876416   -0.142504   -0.015928    0.284365    0.125934
   9.000000    0.055349    0.005893   20.566406   19.925475   -0.640931    0.281117 -400.645812    0.053101   -0.015716    0.258417    0.295801
  10.000000    0.061446    0.006097   23.466797   22.120485   -1.346312    0.272908 -115.688323    0.111541   -0.015257    0.074619    0.170902
  11.000000    0.067313    0.005867   25.136719   24.232635   -0.904084    0.267604   75.374473    0.074902   -0.014961   -0.048617    0.011325
  12.000000    0.073181    0.005868   25.576172   26.345040    0.768868    0.272115  285.107570   -0.063700   -0.015213   -0.183894   -0.262807
  13.000000    0.079086    0.005905   25.488281   28.471005    2.982724    0.289730  374.882946   -0.247116   -0.016198   -0.241799   -0.505113
  14.000000    0.085005    0.005919   25.400391   30.601725    5.201334    0.320515  374.849736   -0.430925   -0.017919   -0.241778   -0.690622
