       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000004    0.000001    0.000000    0.001605    0.001605    0.000000    0.000000   -0.000133   -0.000000   -0.000000   -0.000133
   1.000000    0.022358    0.022354    0.000000    8.048880    8.048880    0.179921  360.000000   -0.666842   -0.010059   -0.232200   -0.909101
   2.000000    0.035544    0.013186    3.603516   12.795945    9.192429    0.301135   86.722577   -0.761584   -0.016836   -0.055936   -0.834355
   3.000000    0.056456    0.020912   16.523438   20.324340    3.800902    0.380620 -257.817174   -0.314901   -0.021279    0.166292   -0.169888
   4.000000    0.077694    0.021237   28.212891   27.969825   -0.243066    0.375458 -190.416774    0.020138   -0.020991    0.122819    0.121966
   5.000000    0.101302    0.023608   31.376953   36.468645    5.091692    0.495662  225.974039   -0.421842   -0.027711   -0.145753   -0.595306
   6.000000    0.110556    0.009254   32.080078   39.800115    7.720037    0.567104  284.020033   -0.639597   -0.031705   -0.183193   -0.854495
   7.000000    0.122469    0.011913   35.419922   44.088750    8.668828    0.670375   79.644187   -0.718204   -0.037479   -0.051371   -0.807053
   8.000000    0.143029    0.020560   47.636719   51.490395    3.853676    0.749607 -234.198570   -0.319273   -0.041908    0.151058   -0.210123
   9.000000    0.153793    0.010764   54.931641   55.365510    0.433869    0.754277 -317.701683   -0.035946   -0.042169    0.204918    0.126803
  10.000000    0.170081    0.016288   59.150391   61.229070    2.078679    0.788134  100.985004   -0.172217   -0.044062   -0.065135   -0.281414
  11.000000    0.184823    0.014743   60.556641   66.536445    5.979804    0.876292  264.613861   -0.495421   -0.048991   -0.170676   -0.715088
  12.000000    0.202597    0.017774   69.169922   72.935010    3.765088    0.943212 -124.605719   -0.311934   -0.052732    0.080371   -0.284295
  13.000000    0.215102    0.012505   74.003906   77.436855    3.432949    0.986142  -26.560260   -0.284416   -0.055132    0.017131   -0.322417
  14.000000    0.230565    0.015463   79.101562   83.003505    3.901942    1.046477   30.330211   -0.323272   -0.058505   -0.019563   -0.401340
  15.000000    0.254827    0.024261   81.210938   91.737570   10.526632    1.301867  273.055949   -0.872121   -0.072783   -0.176121   -1.121026
  16.000000    0.278433    0.023606   99.492188  100.235715    0.743527    1.319418 -414.433726   -0.061600   -0.073765    0.267310    0.131945
  17.000000    0.296400    0.017967  113.378906  106.703865   -6.675041    1.199487 -412.897747    0.553020   -0.067060    0.266319    0.752280
  18.000000    0.316001    0.019602  111.181641  113.760510    2.578869    1.250038  472.095146   -0.213657   -0.069886   -0.304501   -0.588044
  19.000000    0.324137    0.008135  107.138672  116.689275    9.550603    1.327736  856.956441   -0.791258   -0.074230   -0.552737   -1.418225
  20.000000    0.341540    0.017403  116.542969  122.954490    6.411521    1.439318 -180.372018   -0.531188   -0.080468    0.116340   -0.495316
  21.000000    0.347116    0.005576  123.310547  124.961715    1.651168    1.448525 -853.779285   -0.136798   -0.080983    0.550688    0.332907
  22.000000    0.357219    0.010103  130.781250  128.598960   -2.182290    1.426476 -379.420417    0.180801   -0.079750    0.244726    0.345777
  23.000000    0.365211    0.007992  133.154297  131.475960   -1.678337    1.413063   63.059840    0.139049   -0.079000   -0.040674    0.019375
  24.000000    0.386546    0.021335  130.605469  139.156695    8.551226    1.595507  479.464885   -0.708461   -0.089200   -0.309255   -1.106915
  25.000000    0.394935    0.008388  131.132812  142.176525   11.043712    1.688146  297.134287   -0.914961   -0.094379   -0.191652   -1.200991
  26.000000    0.408213    0.013278  139.658203  146.956515    7.298312    1.785051 -282.080972   -0.604658   -0.099797    0.181942   -0.522512
  27.000000    0.416063    0.007851  147.656250  149.782815    2.126565    1.801747 -658.751240   -0.176184   -0.100730    0.424895    0.147981
  28.000000    0.423493    0.007430  153.105469  152.457450   -0.648019    1.796932 -373.452948    0.053688   -0.100461    0.240877    0.194104
  29.000000    0.448727    0.025234  157.675781  161.541810    3.866029    1.894489  178.885155   -0.320297   -0.105915   -0.115381   -0.541593
  30.000000    0.458349    0.009622  158.642578  165.005670    6.363092    1.955713  259.520510   -0.527176   -0.109338   -0.167391   -0.803905
  31.000000    0.473856    0.015507  166.113281  170.588055    4.474774    2.025102 -121.774927   -0.370731   -0.113217    0.078545   -0.405403
  32.000000    0.495891    0.022035  177.714844  178.520715    0.805871    2.042860 -166.502136   -0.066766   -0.114210    0.107394   -0.073582
  33.000000    0.513392    0.017501  180.966797  175.178865   -5.787932    1.941564 -376.763633    0.479524   -0.108547    0.243013    0.613990
  34.000000    0.524567    0.011175  181.406250  171.155820  -10.250430    1.827014 -399.324225    0.849238   -0.102143    0.257564    1.004659
  35.000000    0.542575    0.018007  172.089844  164.673135   -7.416709    1.693458  157.363735    0.614467   -0.094676   -0.101500    0.418291
  36.000000    0.558357    0.015782  160.048828  158.991540   -1.057288    1.676772  402.948735    0.087595   -0.093743   -0.259902   -0.266050
  37.000000    0.573473    0.015116  156.181641  153.549810   -2.631831    1.636989 -104.164545    0.218045   -0.091519    0.067186    0.193712
  38.000000    0.598181    0.024708  157.851562  144.654840  -13.196722    1.310921 -427.585599    1.093335   -0.073290    0.275793    1.295838
  39.000000    0.609874    0.011693  156.445312  140.445195  -16.000117    1.123825 -239.740450    1.325594   -0.062830    0.154633    1.417397
  40.000000    0.630768    0.020894  133.066406  132.923460   -0.142946    1.120838  758.944816    0.011843   -0.062663   -0.489519   -0.540339
  41.000000    0.646697    0.015928  118.564453  127.189260    8.624807    1.258217  550.450090   -0.714557   -0.070343   -0.355040   -1.139940
  42.000000    0.667503    0.020807  124.980469  119.698800   -5.281669    1.148322 -668.360990    0.437581   -0.064199    0.431093    0.804475
  43.000000    0.680903    0.013400  130.869141  114.874800  -15.994341    0.933998 -799.453125    1.325115   -0.052217    0.515647    1.788545
  44.000000    0.704223    0.023320  105.205078  106.479675    1.274597    0.963721  740.527076   -0.105599   -0.053879   -0.477640   -0.637118
  45.000000    0.715297    0.011074   89.648438  102.493110   12.844673    1.105960 1044.816167   -1.064168   -0.061831   -0.673906   -1.799906
  46.000000    0.727808    0.012511   88.769531   97.989165    9.219634    1.221307 -289.749090   -0.763837   -0.068280    0.186888   -0.645229
  47.000000    0.749355    0.021547  105.820312   90.232080  -15.588232    0.885420 -1151.312889    1.291469   -0.049501    0.742597    1.984565
  48.000000    0.776870    0.027515   82.529297   80.326860   -2.202437    0.824821  486.499687    0.182470   -0.046113   -0.313792   -0.177436
  49.000000    0.783917    0.007047   69.697266   77.789925    8.092659    0.881850 1460.910284   -0.670469   -0.049302   -0.942287   -1.662057
  50.000000    0.808531    0.024614   73.212891   68.928795   -4.284096    0.776401 -502.828849    0.354933   -0.043406    0.324325    0.635851
  51.000000    0.824721    0.016190   86.220703   63.100350  -23.120353    0.402079 -1163.441141    1.915498   -0.022479    0.750420    2.643439
  52.000000    0.832198    0.007477   83.408203   60.408705  -22.999498    0.230117   16.164052    1.905485   -0.012865   -0.010426    1.882194
  53.000000    0.841673    0.009475   70.488281   56.997765  -13.490516    0.102296 1003.604035    1.117676   -0.005719   -0.647325    0.464632
  54.000000    0.860485    0.018813   44.824219   50.225235    5.401016    0.203903 1004.196639   -0.447469   -0.011400   -0.647707   -1.106575
  55.000000    0.883923    0.023438   45.527344   41.787615   -3.739729    0.116252 -389.999574    0.309833   -0.006499    0.251550    0.554883
  56.000000    0.896433    0.012510   51.679688   37.283940  -14.395747   -0.063842 -851.785849    1.192673    0.003569    0.549402    1.745644
  57.000000    0.903118    0.006685   51.591797   34.877490  -16.714307   -0.175570 -346.851742    1.384764    0.009816    0.223719    1.618299
  58.000000    0.908920    0.005802   47.724609   32.788830  -14.935779   -0.262225  306.545814    1.237414    0.014660   -0.197722    1.054353
  59.000000    0.923519    0.014599   31.640625   27.533115   -4.107510   -0.322191  741.702454    0.340303    0.018013   -0.478398   -0.120082
  60.000000    0.930184    0.006665   23.554688   25.133745    1.579058   -0.311667  853.209214   -0.130823    0.017424   -0.550320   -0.663719
  61.000000    0.940519    0.010335   17.841797   21.413205    3.571408   -0.274757  192.780105   -0.295888    0.015361   -0.124343   -0.404870
