       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000005    0.000001    0.000000    0.001875    0.001875    0.000000    0.000000   -0.000155   -0.000000   -0.000000   -0.000155
   1.000000    0.022334    0.022328    0.000000    8.040120    8.040120    0.179523  360.000000   -0.666116   -0.010037   -0.232200   -0.908353
   2.000000    0.035467    0.013133    0.615234   12.768105   12.152871    0.339131  313.154592   -1.006853   -0.018960   -0.201985   -1.227798
   3.000000    0.056352    0.020885   12.480469   20.286870    7.806401    0.502171 -208.109821   -0.646753   -0.028075    0.134231   -0.540597
   4.000000    0.077691    0.021338   38.144531   27.968595  -10.175936    0.285036 -842.732785    0.843066   -0.015935    0.543563    1.370693
   5.000000    0.101435    0.023745   62.138672   36.516705  -25.621967   -0.323352 -650.502980    2.122754    0.018078    0.419574    2.560406
   6.000000    0.110706    0.009271   60.732422   39.854190  -20.878232   -0.516909  511.686086    1.729741    0.028899   -0.330038    1.428602
   7.000000    0.122621    0.011915   43.154297   44.143665    0.989368   -0.505121 1835.267870   -0.081968    0.028240   -1.183748   -1.237476
   8.000000    0.143183    0.020562    4.482422   51.546060   47.063638    0.462611 2240.725796   -3.899175   -0.025863   -1.445268   -5.000000
   9.000000    0.153938    0.010755    0.351562   55.417815   55.066253    1.054842  744.091807   -4.562184   -0.058973   -0.479939   -5.000000
  10.000000    0.170223    0.016285   51.679688   61.280250    9.600563    1.211183 -2791.953859   -0.795397   -0.067714    1.800810    0.937700
  11.000000    0.184969    0.014746  133.681641   66.588690  -67.092951    0.221853 -5201.088467    5.558584   -0.012403    3.354702    5.000000
  12.000000    0.202780    0.017811  187.470703   73.000755 -114.469948   -1.817005 -2659.941647    9.483721    0.101583    1.715662    5.000000
  13.000000    0.215313    0.012533  170.595703   77.512605  -93.083098   -2.983608 1706.454301    7.711842    0.166805   -1.100663    5.000000
  14.000000    0.230810    0.015498  102.480469   83.091765  -19.388704   -3.284087 4755.193081    1.606335    0.183603   -3.067100   -1.277161
  15.000000    0.255077    0.024267  -58.359375   91.827780  150.187155    0.360461 6988.003977  -12.442856   -0.020152   -4.507263   -5.000000
  16.000000    0.278650    0.023573 -129.990234  100.314000  230.304234    5.789384 3398.703892  -19.080476   -0.323667   -2.192164   -5.000000
