       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000005    0.000001    0.000000    0.002709    0.002709    0.000000    0.000000   -0.000224   -0.000000   -0.000000   -0.000224
   1.000000    0.022351    0.022346    0.000000   12.628832   12.628832    0.282207  565.021999   -1.046286   -0.015777   -0.364439   -1.426503
   2.000000    0.035486    0.013135    0.966797   20.025483   19.058686    0.532548  489.511373   -1.578993   -0.029773   -0.315735   -1.924501
   3.000000    0.056377    0.020890   21.972656   31.713840    9.741184    0.736045 -446.018910   -0.807047   -0.041150    0.287682   -0.560515
   4.000000    0.077721    0.021344   66.884766   43.514650  -23.370116    0.237231 -1551.310411    1.936191   -0.013263    1.000595    2.923523
   5.000000    0.101341    0.023620  102.744141   56.343609  -46.400531   -0.858748 -975.040499    3.844238    0.048010    0.628901    4.521149
   6.000000    0.110544    0.009203   95.712891   61.262086  -34.450805   -1.175803 1298.442271    2.854215    0.065736   -0.837495    2.082455
   7.000000    0.122456    0.011912   60.996094   67.551872    6.555778   -1.097708 3442.339427   -0.543140    0.061370   -2.220309   -2.702079
   8.000000    0.143023    0.020567   -5.712891   78.183564   83.896455    0.627770 3760.471488   -6.950737   -0.035097   -2.425504   -5.000000
   9.000000    0.153818    0.010795  -13.447266   83.635844   97.083109    1.675737 1221.604001   -8.043239   -0.093685   -0.787935   -5.000000
  10.000000    0.170100    0.016283   34.189453   91.676165   57.486711    2.611767 -2431.831468   -4.762717   -0.146016    1.568531   -3.340201
  11.000000    0.184846    0.014746  116.455078   98.751369  -17.703710    2.350708 -5099.023927    1.466735   -0.131421    3.288870    4.624184
  12.000000    0.202645    0.017799  219.990234  107.007697 -112.982537    0.339755 -5353.106709    9.360490   -0.018995    3.452754    5.000000
  13.000000    0.215136    0.012491  240.644531  112.603816 -128.040715   -1.259650 -1205.486023   10.608045    0.070423    0.777538    5.000000
  14.000000    0.230599    0.015463  200.039062  119.289972  -80.749091   -2.508242 3058.447344    6.689981    0.140228   -1.972699    4.857511
  15.000000    0.254840    0.024241   57.744141  129.199785   71.455645   -0.776074 6278.770958   -5.920029    0.043388   -4.049807   -5.000000
  16.000000    0.278361    0.023521 -117.597656  138.099762  255.697419    5.238164 7833.103361  -21.184275   -0.292850   -5.052352   -5.000000
  17.000000    0.296297    0.017937 -150.908203  144.382581  295.290784   10.534647 2207.418709  -24.464546   -0.588960   -1.423785   -5.000000
  18.000000    0.315842    0.019545  -80.771484  150.706236  231.477720   15.058782 -3265.000039  -19.177698   -0.841891    2.105925   -5.000000
  19.000000    0.323898    0.008056  -33.398438  153.148645  186.547082   16.561551 -5577.490851  -15.455239   -0.925907    3.597482   -5.000000
  20.000000    0.341236    0.017338   89.296875  158.070707   68.773832   17.753960 -6792.732780   -5.697843   -0.992571    4.381313   -2.309101
  21.000000    0.346754    0.005518  131.396484  159.539595   28.143110   17.909265 -7362.805537   -2.331629   -1.001253    4.749010    1.416128
  22.000000    0.356803    0.010049  198.720703  162.090887  -36.629816   17.541187 -6445.975494    3.034744   -0.980675    4.157654    5.000000
  23.000000    0.364742    0.007940  232.207031  163.992585  -68.214446   16.999598 -3978.163633    5.651499   -0.950397    2.565916    5.000000
  24.000000    0.386021    0.021278  210.058594  168.583059  -41.475534   16.117073 1256.633621    3.436207   -0.901057   -0.810529    1.724621
  25.000000    0.394751    0.008730  172.353516  170.249672   -2.103843   16.098706 4509.801106    0.174301   -0.900030   -2.908822   -3.634551
  26.000000    0.408176    0.013425  121.728516  172.562195   50.833680   16.781135 3943.278127   -4.211520   -0.938183   -2.543414   -5.000000
  27.000000    0.416219    0.008043  113.730469  173.800902   60.070433   17.264284 1148.415400   -4.976775   -0.965194   -0.740728   -5.000000
  28.000000    0.423799    0.007580  125.507812  174.866751   49.358939   17.638427 -1413.118258   -4.089339   -0.986112    0.911461   -4.163989
  29.000000    0.449178    0.025379  248.027344  177.710589  -70.316754   15.853838 -4715.485877    5.825673   -0.886341    3.041488    5.000000
  30.000000    0.458936    0.009758  306.826172  178.504205 -128.321967   14.601726 -5944.629158   10.631347   -0.816339    3.834286    5.000000
  31.000000    0.474585    0.015650  322.998047  179.426572 -143.571475   12.354856 -974.419802   11.894753   -0.690723    0.628501    5.000000
  32.000000    0.496773    0.022187  234.404297  179.990749  -54.413548   11.147562 4018.408070    4.508108   -0.623227   -2.591873    1.293008
  33.000000    0.514503    0.017730  117.509766  179.813192   62.303426   12.252230 6582.851648   -5.161777   -0.684985   -4.245939   -5.000000
