       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000005    0.000002    0.000000    0.001935    0.001935    0.000000    0.000000   -0.000160   -0.000000   -0.000000   -0.000160
   1.000000    0.022423    0.022418    0.000000    8.072295    8.072295    0.180962  360.000000   -0.668782   -0.010117   -0.232200   -0.911099
   2.000000    0.035561    0.013138    0.000000   12.801885   12.801885    0.349150  360.000000   -1.060623   -0.019520   -0.232200   -1.312343
   3.000000    0.056423    0.020863    9.316406   20.312445   10.996039    0.578557  -86.558760   -0.911011   -0.032345    0.055830   -0.887526
   4.000000    0.077795    0.021371   36.210938   28.006020   -8.204918    0.403209 -898.456712    0.679769   -0.022542    0.579505    1.236732
   5.000000    0.101397    0.023603   66.708984   36.502965  -30.206019   -0.309732 -932.146398    2.502538    0.017316    0.601234    3.121089
   6.000000    0.110612    0.009215   67.763672   39.820455  -27.943217   -0.567236  245.549768    2.315068    0.031712   -0.158380    2.188400
   7.000000    0.122567    0.011955   49.570312   44.124150   -5.446163   -0.632343 1881.857278    0.451209    0.035352   -1.213798   -0.727236
   8.000000    0.143371    0.020803   -2.900391   51.613410   54.513801    0.501735 2882.205548   -4.516414   -0.028050   -1.859023   -5.000000
   9.000000    0.154338    0.010968  -15.820312   55.561845   71.382157    1.284645 1537.978585   -5.913940   -0.071821   -0.991996   -5.000000
  10.000000    0.170854    0.016516   29.443359   61.507500   32.064141    1.814207 -2380.643582   -2.656482   -0.101427    1.535515   -1.222394
  11.000000    0.185651    0.014797  109.599609   66.834450  -42.765159    1.181408 -5057.030505    3.543051   -0.066049    3.261785    5.000000
  12.000000    0.203440    0.017789  187.382812   73.238445 -114.144368   -0.849092 -4012.575732    9.456747    0.047470    2.588111    5.000000
  13.000000    0.215945    0.012504  185.712891   77.740050 -107.972841   -2.199234  493.546122    8.945442    0.122953   -0.318337    5.000000
  14.000000    0.231413    0.015468  128.056641   83.308665  -44.747976   -2.891413 4087.363088    3.707325    0.161650   -2.636349    1.232626
  15.000000    0.255656    0.024243  -24.433594   92.036280  116.469874   -0.067790 6649.975483   -9.649413    0.003790   -4.289234   -5.000000
  16.000000    0.279248    0.023591 -140.273438  100.529130  240.802567    5.613044 5270.288507  -19.950252   -0.313808   -3.399336   -5.000000
  17.000000    0.297226    0.017978 -124.189453  107.001225  231.190678    9.769399 -534.646056  -19.153916   -0.546178    0.344847   -5.000000
  18.000000    0.316831    0.019606  -25.312500  114.059325  139.371825   12.501900 -4683.241627  -11.546816   -0.698944    3.020691   -5.000000
  19.000000    0.324964    0.008133   28.300781  116.987040   88.686259   13.223145 -6232.438287   -7.347568   -0.739266    4.019923   -4.066912
  20.000000    0.342365    0.017401  157.148438  123.251430  -33.897008   12.633300 -7044.576844    2.808333   -0.706290    4.543752    5.000000
  21.000000    0.347945    0.005580  195.556641  125.260290  -70.296351   12.241035 -6522.984528    5.823982   -0.684360    4.207325    5.000000
  22.000000    0.358054    0.010109  226.406250  128.899620  -97.506630   11.255316 -2691.621968    8.078327   -0.629251    1.736096    5.000000
  23.000000    0.366052    0.007998  221.220703  131.778870  -89.441833   10.539968 1008.362177    7.410166   -0.589258   -0.650394    5.000000
  24.000000    0.387387    0.021335  134.472656  139.459455    4.986799   10.646361 4426.005046   -0.413151   -0.595206   -2.854773   -3.863131
  25.000000    0.395770    0.008383   86.484375  142.477290   55.992915   11.115742 6084.561233   -4.638957   -0.621448   -3.924542   -5.000000
  26.000000    0.409043    0.013273   61.523438  147.255510   85.732073   12.253650 2240.603457   -7.102816   -0.685065   -1.445189   -5.000000
  27.000000    0.416888    0.007845   74.794922  150.079710   75.284788   12.844259 -1331.712476   -6.237269   -0.718084    0.858955   -5.000000
  28.000000    0.424336    0.007448  101.513672  152.761110   51.247438   13.225967 -3227.212065   -4.245799   -0.739424    2.081552   -2.903671
  29.000000    0.449593    0.025257  250.927734  161.853615  -89.074119   10.976226 -5555.758442    7.379702   -0.613648    3.583464    5.000000
  30.000000    0.459220    0.009626  308.935547  165.319080 -143.616467    9.593732 -5665.976825   11.898481   -0.536357    3.654555    5.000000
  31.000000    0.474734    0.015515  325.810547  170.904330 -154.906217    7.190426 -727.686340   12.833825   -0.401995    0.469358    5.000000
  32.000000    0.496804    0.022070  240.468750  178.849620  -61.619130    5.830477 4226.825110    5.105083   -0.325964   -2.726302    2.052817
  33.000000    0.514312    0.017508  126.210938  174.847665   48.636727    6.681986 6297.620613   -4.029504   -0.373570   -4.061965   -5.000000
  34.000000    0.525510    0.011198   62.666016  170.816340  108.150324    7.893067 5314.603728   -8.960146   -0.441278   -3.427919   -5.000000
  35.000000    0.543516    0.018006   60.029297  164.334300  104.305003    9.771148 -213.561729   -8.641565   -0.546276    0.137747   -5.000000
  36.000000    0.559257    0.015741  127.617188  158.667570   31.050383   10.259910 -4653.771126   -2.572493   -0.573601    3.001682   -0.144412
  37.000000    0.574383    0.015127  222.539062  153.221985  -69.317078    9.211376 -6635.152256    5.742851   -0.514980    4.279673    5.000000
  38.000000    0.599096    0.024713  311.835938  144.325440 -167.510497    5.071752 -3973.411161   13.878077   -0.283546    2.562850    5.000000
  39.000000    0.610221    0.011125  298.476562  140.320455 -158.156108    3.312272  840.847122   13.103075   -0.185179   -0.542346    5.000000
  40.000000    0.630908    0.020687  203.554688  132.873105  -70.681583    1.850076 4228.461070    5.855898   -0.103432   -2.727357    3.025109
  41.000000    0.647009    0.016101   95.712891  127.076700   31.363809    2.355069 6337.780241   -2.598460   -0.131665   -4.087868   -5.000000
  42.000000    0.667822    0.020813  -36.650391  119.584080  156.234471    5.606751 5999.695542  -12.943870   -0.313457   -3.869804   -5.000000
  43.000000    0.681236    0.013414  -53.349609  114.754875  168.104484    7.861782  884.867106  -13.927288   -0.439529   -0.570739   -5.000000
  44.000000    0.704518    0.023281   37.089844  106.373685   69.283841    9.474784 -4244.675516   -5.740097   -0.529707    2.737816   -3.531988
  45.000000    0.715593    0.011076  107.226562  102.386475   -4.840088    9.421178 -6692.553216    0.400996   -0.526710    4.316697    4.190983
  46.000000    0.728044    0.012451  183.867188   97.904280  -85.962908    8.350893 -6515.605515    7.121941   -0.466873    4.202566    5.000000
  47.000000    0.749596    0.021553  200.566406   90.145290 -110.421116    5.971014 -1134.806869    9.148279   -0.333821    0.731950    5.000000
  48.000000    0.773363    0.023767   92.812500   81.589275  -11.223225    5.704275 4173.817063    0.929833   -0.318909   -2.692112   -2.081188
  49.000000    0.780154    0.006791   52.998047   79.144380   26.146333    5.881845 5502.502531   -2.166198   -0.328836   -3.549114   -5.000000
  50.000000    0.804538    0.024383    9.667969   70.366335   60.698366    7.361881 1417.027538   -5.028799   -0.411581   -0.913983   -5.000000
  51.000000    0.820489    0.015951   62.314453   64.623930    2.309477    7.398719 -3660.487231   -0.191338   -0.413640    2.361014    1.756036
  52.000000    0.827610    0.007121   96.767578   62.060490  -34.707088    7.151582 -5198.469463    2.875448   -0.399823    3.353013    5.000000
  53.000000    0.836913    0.009303  121.201172   58.711260  -62.489912    6.570212 -2986.303191    5.177227   -0.367321    1.926166    5.000000
  54.000000    0.855582    0.018669   84.375000   51.990495  -32.384505    5.965632 1612.606041    2.683024   -0.333521   -1.040131    1.309372
  55.000000    0.878786    0.023204  -46.757812   43.636905   90.394717    8.063189 5291.200724   -7.489112   -0.450789   -3.412824   -5.000000
  56.000000    0.891330    0.012544 -108.281250   39.121140  147.402390    9.912174 4544.692098  -12.212141   -0.554160   -2.931326   -5.000000
  57.000000    0.898008    0.006678 -118.388672   36.717105  155.105777   10.947951 1153.568594  -12.850358   -0.612067   -0.744052   -5.000000
  58.000000    0.903800    0.005792 -113.730469   34.632015  148.362484   11.807254 -1164.259302  -12.291683   -0.660108    0.750947   -5.000000
  59.000000    0.918394    0.014594  -64.775391   29.378250   94.153641   13.181313 -3714.514130   -7.800535   -0.736928    2.395862   -5.000000
  60.000000    0.925047    0.006654  -29.355469   26.982960   56.338429   13.556165 -5683.434990   -4.667582   -0.757885    3.665816   -1.759651
  61.000000    0.935220    0.010172   32.255859   23.320860   -8.935000   13.465274 -6416.655505    0.740256   -0.752803    4.138743    4.126196
  62.000000    0.960039    0.024819  154.511719   14.385975 -140.125744    9.987476 -5285.873067   11.609278   -0.558370    3.409388    5.000000
  63.000000    0.983464    0.023425  139.833984    5.952840 -133.881145    6.851260  266.574148   11.091919   -0.383033   -0.171940    5.000000
  64.000000    1.005885    0.022421   23.994141   -2.118585  -26.112726    6.265796 4806.664344    2.163413   -0.350302   -3.100299   -1.287187
  65.000000    1.016672    0.010787  -47.109375   -6.001770   41.107605    6.709208 6231.822338   -3.405724   -0.375092   -4.019525   -5.000000
  66.000000    1.032860    0.016188 -104.326172  -11.829615   92.496557    8.206585 3174.419206   -7.663247   -0.458806   -2.047500   -5.000000
  67.000000    1.045758    0.012898  -89.296875  -16.472745   72.824130    9.145840 -1525.280105   -6.033406   -0.511316    0.983806   -5.000000
  68.000000    1.066364    0.020606    8.173828  -23.890875  -32.064703    8.485118 -5090.228852    2.656529   -0.474377    3.283198    5.000000
  69.000000    1.082002    0.015639  110.830078  -29.520855 -140.350933    6.290193 -6924.188645   11.627934   -0.351666    4.466102    5.000000
  70.000000    1.100754    0.018751  129.638672  -36.271335 -165.910007    3.179159 -1363.053636   13.745478   -0.177737    0.879170    5.000000
  71.000000    1.116873    0.016120   68.466797  -42.074400 -110.541197    1.397276 3434.869608    9.158228   -0.078118   -2.215491    5.000000
  72.000000    1.123033    0.006160   33.662109  -44.292030  -77.954139    0.917072 5290.035478    6.458423   -0.051271   -3.412073    2.995079
  73.000000    1.137199    0.014165  -59.326172  -49.391550    9.934622    1.057799 6204.496666   -0.823073   -0.059138   -4.001900   -4.884112
  74.000000    1.161945    0.024746 -211.992188  -58.300065  153.692122    4.861045 5809.352089  -12.733239   -0.271766   -3.747032   -5.000000
  75.000000    1.186010    0.024065 -199.248047  -66.963630  132.284417    8.044531 -889.561502  -10.959632   -0.449746    0.573767   -5.000000
  76.000000    1.205867    0.019857  -92.109375  -74.112135   17.997240    8.401901 -5755.522913   -1.491053   -0.469725    3.712312    1.751534
  77.000000    1.216988    0.011121  -18.281250  -78.115620  -59.834370    7.736495 -6998.747042    4.957218   -0.432524    4.514192    5.000000
  78.000000    1.237200    0.020212   40.693359  -85.392030 -126.085390    5.188026 -3277.765680   10.446048   -0.290047    2.114159    5.000000
  79.000000    1.255425    0.018225   -3.339844  -91.953120  -88.613276    3.573027 2056.054821    7.341521   -0.199757   -1.326155    5.000000
  80.000000    1.267902    0.012476  -69.697266  -96.444600  -26.747334    3.239318 4958.663895    2.215990   -0.181101   -3.198338   -1.163449
  81.000000    1.287058    0.019156 -198.105469 -103.340850   94.764619    5.054653 6343.201468   -7.851154   -0.282590   -4.091365   -5.000000
  82.000000    1.295778    0.008721 -237.041016 -106.480260  130.560756    6.193219 4104.787145  -10.816828   -0.346244   -2.647588   -5.000000
  83.000000    1.310124    0.014345 -238.007812 -111.644535  126.363277    8.005927 -292.604894  -10.469071   -0.447587    0.188730   -5.000000
  84.000000    1.333127    0.023003 -135.703125 -119.925750   15.777375    8.368859 -4807.377287   -1.307140   -0.467878    3.100758    1.325741
  85.000000    1.355108    0.021981   16.699219 -127.838730 -144.537949    5.191843 -7293.524886   11.974825   -0.290260    4.704324    5.000000
  86.000000    1.367103    0.011995   68.291016 -132.156960 -200.447976    2.787453 -4661.078773   16.606914   -0.155838    3.006396    5.000000
  87.000000    1.377073    0.009970   70.927734 -135.746250 -206.673984    0.726862 -624.458639   17.122733   -0.040637    0.402776    5.000000
  88.000000    1.400346    0.023273  -20.566406 -144.124590 -123.558184   -2.148729 3571.314575   10.236672    0.120129   -2.303498    5.000000
  89.000000    1.412752    0.012406 -100.195312 -148.590645  -48.395333   -2.749107 6058.731301    4.009505    0.153694   -3.907882    0.255318
  90.000000    1.431855    0.019103 -240.908203 -155.467890   85.440313   -1.116902 7005.833485   -7.078645    0.062443   -4.518763   -5.000000
  91.000000    1.456496    0.024640 -346.201172 -164.338425  181.862747    3.364265 3913.188568  -15.067147   -0.188086   -2.524007   -5.000000
  92.000000    1.473666    0.017171 -319.042969 -170.519850  148.523119    5.914500 -1941.666545  -12.304992   -0.330662    1.252375   -5.000000
  93.000000    1.492221    0.018554 -221.660156 -177.199440   44.460716    6.739442 -5608.497568   -3.683526   -0.376782    3.617481   -0.442827
  94.000000    1.514849    0.022628  -58.535156 -174.654390 -116.119234    4.111867 -7096.436965    9.620362   -0.229882    4.577202    5.000000
  95.000000    1.529031    0.014182   14.414062 -169.548975 -183.963038    1.502957 -4783.895132   15.241154   -0.084026    3.085612    5.000000
  96.000000    1.552907    0.023877  -16.523438 -160.953375 -144.429937   -1.945548 1655.721049   11.965876    0.108770   -1.067940    5.000000
  97.000000    1.566278    0.013371  -86.748047 -156.139920  -69.391873   -2.873367 5612.123476    5.749047    0.160641   -3.619820    2.289869
  98.000000    1.588058    0.021780 -237.919922 -148.299000   89.620922   -0.921393 7300.751000   -7.425004    0.051512   -4.708984   -5.000000
  99.000000    1.607135    0.019076 -354.638672 -141.431520  213.207152    3.145817 6478.510827  -17.663999   -0.175873   -4.178639   -5.000000
 100.000000    1.630750    0.023615 -339.433594 -132.930045  206.503549    8.022442 -283.868058  -17.108613   -0.448511    0.183095   -5.000000
 101.000000    1.645792    0.015042 -263.496094 -127.514835  135.981259   10.067906 -4688.280676  -11.265911   -0.562866    3.023941   -5.000000
 102.000000    1.655493    0.009701 -199.423828 -124.022370   75.401458   10.799397 -6244.508515   -6.246935   -0.603762    4.027708   -2.822989
 103.000000    1.679901    0.024407  -10.458984 -115.235745 -104.776760    8.242080 -7382.147050    8.680650   -0.460790    4.761485    5.000000
 104.000000    1.703703    0.023802  155.654297 -106.666920 -262.321217    1.998234 -6618.877842   21.733050   -0.111715    4.269176    5.000000
 105.000000    1.712042    0.008339  178.857422 -103.664715 -282.522137   -0.357847 -2422.329765   23.406676    0.020006    1.562403    5.000000
 106.000000    1.735066    0.023023  127.177734  -95.376270 -222.554004   -5.481810 2604.653583   18.438377    0.306472   -1.680002    5.000000
 107.000000    1.753346    0.018280   18.632812  -88.795500 -107.428312   -7.445591 6297.932972    8.900328    0.416261   -4.062167    5.000000
 108.000000    1.767391    0.014045  -83.759766  -83.739390    0.020376   -7.445305 7650.452171   -0.001688    0.416245   -4.934542   -4.519985
 109.000000    1.785187    0.017796 -220.957031  -77.332725  143.624306   -4.889325 8069.317949  -11.899130    0.273347   -5.204710   -5.000000
 110.000000    1.796315    0.011128 -260.332031  -73.326735  187.005296   -2.808377 3898.451169  -15.493202    0.157008   -2.514501   -5.000000
 111.000000    1.817429    0.021114 -215.595703  -65.725650  149.870053    0.355998 -1758.786742  -12.416584   -0.019903    1.134417   -5.000000
 112.000000    1.828976    0.011548 -153.369141  -61.568550   91.800591    1.416066 -5028.747564   -7.605587   -0.079168    3.243542   -4.441213
 113.000000    1.843312    0.014336  -56.337891  -56.407530   -0.069639    1.415067 -6408.284019    0.005770   -0.079112    4.133343    4.060001
 114.000000    1.853227    0.009914   11.777344  -52.838430  -64.615774    0.774456 -6510.494957    5.353352   -0.043298    4.199269    5.000000
 115.000000    1.862360    0.009134   43.242188  -49.550295  -92.792482   -0.073084 -3084.914568    7.687764    0.004086    1.989770    5.000000
