       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000017    0.000001    0.000000    0.006255    0.006255    0.000000    0.000000   -0.000518   -0.000000   -0.000000   -0.000518
   1.000000    0.005429    0.005412    0.000000    1.954515    1.954515    0.010578  360.000000   -0.161930   -0.000591   -0.232200   -0.394721
   2.000000    0.010684    0.005255    0.175781    3.846210    3.670429    0.029865  326.547862   -0.304091   -0.001670   -0.210623   -0.516384
   3.000000    0.015933    0.005249    0.878906    5.736015    4.857109    0.055362  226.057601   -0.402407   -0.003095   -0.145807   -0.551309
   4.000000    0.021058    0.005125    2.021484    7.580895    5.559411    0.083852  137.043440   -0.460592   -0.004688   -0.088393   -0.553673
   5.000000    0.026185    0.005127    3.251953    9.426480    6.174527    0.115506  119.984639   -0.511553   -0.006458   -0.077390   -0.595401
   6.000000    0.031296    0.005111    4.394531   11.266560    6.872029    0.150632  136.461810   -0.569341   -0.008421   -0.088018   -0.665780
   7.000000    0.036415    0.005119    5.273438   13.109550    7.836113    0.190748  188.319074   -0.649214   -0.010664   -0.121466   -0.781344
   8.000000    0.041526    0.005111    6.328125   14.949450    8.621325    0.234810  153.636869   -0.714268   -0.013128   -0.099096   -0.826491
   9.000000    0.046645    0.005119    8.613281   16.792200    8.178919    0.276676  -86.428571   -0.677615   -0.015468    0.055746   -0.637337
  10.000000    0.051758    0.005113   11.337891   18.632985    7.295094    0.313978 -172.848383   -0.604391   -0.017554    0.111487   -0.510458
  11.000000    0.056877    0.005118   14.150391   20.475585    6.325194    0.346352 -189.495314   -0.524036   -0.019364    0.122224   -0.421175
  12.000000    0.062021    0.005144   16.611328   22.327485    5.716157    0.375757 -118.393781   -0.473578   -0.021007    0.076364   -0.418221
  13.000000    0.067266    0.005245   18.896484   24.215835    5.319351    0.403659  -75.648240   -0.440703   -0.022567    0.048793   -0.414477
  14.000000    0.072548    0.005282   21.533203   26.117445    4.584242    0.427874 -139.165838   -0.379800   -0.023921    0.089762   -0.313959
  15.000000    0.077835    0.005287   24.785156   28.020645    3.235489    0.444979 -255.123503   -0.268057   -0.024877    0.164555   -0.128380
  16.000000    0.083108    0.005273   26.542969   29.919015    3.376046    0.462782   26.654814   -0.279702   -0.025873   -0.017192   -0.322767
  17.000000    0.088451    0.005342   27.509766   31.842195    4.332429    0.485927  179.025337   -0.358937   -0.027167   -0.115471   -0.501575
  18.000000    0.093739    0.005288   27.597656   33.745965    6.148309    0.518441  343.380017   -0.509381   -0.028984   -0.221480   -0.759846
  19.000000    0.098972    0.005233   27.597656   35.629830    8.032174    0.560473  360.000000   -0.665458   -0.031334   -0.232200   -0.928992
  20.000000    0.104100    0.005128   28.125000   37.475925    9.350925    0.608424  257.164698   -0.774715   -0.034015   -0.165871   -0.974601
  21.000000    0.109259    0.005159   30.410156   39.333180    8.923024    0.654459  -82.942060   -0.739264   -0.036589    0.053498   -0.722355
  22.000000    0.114378    0.005119   33.750000   41.175975    7.425975    0.692471 -292.456594   -0.615235   -0.038714    0.188635   -0.465314
  23.000000    0.119498    0.005120   37.792969   43.019250    5.226281    0.719231 -429.610102   -0.432992   -0.040210    0.277099   -0.196104
  24.000000    0.124615    0.005117   40.781250   44.861265    4.080015    0.740107 -224.024191   -0.338025   -0.041377    0.144496   -0.234907
  25.000000    0.129731    0.005117   42.714844   46.703295    3.988451    0.760515  -17.894904   -0.330439   -0.042518    0.011542   -0.361415
  26.000000    0.134846    0.005114   44.472656   48.544470    4.071814    0.781340   16.299646   -0.337346   -0.043682   -0.010513   -0.391541
  27.000000    0.139965    0.005119   46.054688   50.387430    4.332742    0.803521   50.969263   -0.358963   -0.044922   -0.032875   -0.436761
