       step          sn     cputime cputimediff       angle         ref           v 
   0.000000  200.000000    1.003551    1.003546   -0.000000    0.000000    0.000000 
   1.000000  202.000000    1.013143    0.009592   -0.000000   -3.600000   -0.132013 
   2.000000  203.000000    1.019204    0.006061   -0.000000   -5.400000   -0.282028 
   3.000000  204.000000    1.025223    0.006019   -0.000000   -7.200000   -0.433543 
   4.000000  205.000000    1.031221    0.005998   -0.000000   -9.000000   -0.583558 
   5.000000  206.000000    1.037204    0.005983   -0.966797  -10.800000   -0.735074 
   6.000000  208.000000    1.043172    0.005967   -4.130859  -14.400000   -0.960096 
   7.000000  209.000000    1.049145    0.005973   -6.064453  -16.200000   -0.622562 
   8.000000  210.000000    1.055119    0.005974   -9.052734  -18.000000   -0.591059 
   9.000000  211.000000    1.061099    0.005980  -12.656250  -19.800000   -0.360036 
  10.000000  212.000000    1.067105    0.006006  -15.996094  -21.600000   -0.133513 
  11.000000  214.000000    1.073085    0.005980  -20.214844  -25.200000   -0.622562 
  12.000000  215.000000    1.079091    0.006005  -21.445312  -27.000000   -0.286529 
  13.000000  216.000000    1.085321    0.006230  -24.521484  -28.800000   -0.313531 
  14.000000  217.000000    1.091390    0.006070  -26.455078  -30.600000    0.030003 
  15.000000  218.000000    1.097474    0.006084  -27.333984  -32.400000   -0.108011 
  16.000000  220.000000    1.103562    0.006087  -28.652344  -36.000000   -0.585059 
  17.000000  221.000000    1.109556    0.005994  -30.322266  -37.800000   -0.549055 
  18.000000  222.000000    1.115565    0.006009  -32.607422  -39.600000   -0.426043 
  19.000000  223.000000    1.121549    0.005984  -35.859375  -41.400000   -0.307531 
  20.000000  224.000000    1.127543    0.005993  -38.759766  -43.200000   -0.064506 
  21.000000  226.000000    1.133536    0.005993  -40.957031  -46.800000   -0.544554 
  22.000000  227.000000    1.139550    0.006015  -42.187500  -48.600000   -0.399040 
  23.000000  228.000000    1.145556    0.006006  -45.000000  -50.400000   -0.403540 
  24.000000  229.000000    1.151582    0.006026  -47.548828  -52.200000   -0.117012 
  25.000000  230.000000    1.157763    0.006182  -49.130859  -54.000000   -0.090009 
  26.000000  232.000000    1.163847    0.006083  -50.888672  -57.600000   -0.589559 
  27.000000  233.000000    1.169980    0.006133  -52.646484  -59.400000   -0.492049 
  28.000000  234.000000    1.175974    0.005994  -55.371094  -61.200000   -0.373537 
  29.000000  235.000000    1.181966    0.005992  -58.183594  -63.000000   -0.174017 
  30.000000  237.000000    1.188146    0.006181  -61.787109  -66.600000   -0.592559 
  31.000000  238.000000    1.194147    0.006000  -62.138672  -68.400000   -0.309031 
  32.000000  239.000000    1.200134    0.005987  -64.335938  -70.200000   -0.520552 
  33.000000  240.000000    1.206112    0.005978  -66.357422  -72.000000   -0.252025 
  34.000000  241.000000    1.212105    0.005993  -68.291016  -73.800000   -0.258026 
  35.000000  243.000000    1.218131    0.006026  -71.455078  -77.400000   -0.660066 
  36.000000  244.000000    1.224192    0.006060  -72.246094  -79.200000   -0.355536 
  37.000000  245.000000    1.230280    0.006089  -73.652344  -81.000000   -0.531053 
  38.000000  246.000000    1.236377    0.006097  -76.113281  -82.800000   -0.487549 
  39.000000  247.000000    1.242358    0.005981  -78.398438  -84.600000   -0.298530 
  40.000000  249.000000    1.248369    0.006011  -82.441406  -88.200000   -0.727573 
  41.000000  250.000000    1.254431    0.006061  -84.550781  -90.000000   -0.294029 
  42.000000  251.000000    1.260516    0.006085  -87.714844  -91.800000   -0.247525 
  43.000000  252.000000    1.266532    0.006017  -90.703125  -93.600000    0.000000 
  44.000000  253.000000    1.272565    0.006033  -92.724609  -95.400000    0.075008 
  45.000000  255.000000    1.278686    0.006121  -94.658203  -99.000000   -0.442544 
  46.000000  256.000000    1.284889    0.006203  -96.591797 -100.800000   -0.319532 
  47.000000  258.000000    1.294003    0.009114 -101.601562 -104.400000   -0.573057 
  48.000000  259.000000    1.300189    0.006185 -102.216797 -106.200000    0.033003 
  49.000000  260.000000    1.306323    0.006135 -102.744141 -108.000000   -0.327033 
  50.000000  261.000000    1.312521    0.006197 -103.007812 -109.800000   -0.445545 
  51.000000  263.000000    1.319540    0.007019 -103.183594 -113.400000   -0.793579 
  52.000000  264.000000    1.325659    0.006119 -104.677734 -115.200000   -0.921092 
  53.000000  265.000000    1.331824    0.006165 -107.314453 -117.000000   -0.768077 
  54.000000  267.000000    1.338058    0.006234 -114.785156 -120.600000   -1.045605 
  55.000000  268.000000    1.344084    0.006027 -118.740234 -122.400000   -0.033003 
  56.000000  269.000000    1.350128    0.006043 -122.519531 -124.200000    0.111011 
  57.000000  270.000000    1.356167    0.006039 -126.123047 -126.000000    0.252025 
  58.000000  271.000000    1.362216    0.006049 -128.583984 -127.800000    0.378038 
  59.000000  273.000000    1.368224    0.006007 -130.869141 -131.400000   -0.180018 
  60.000000  274.000000    1.374385    0.006161 -130.693359 -133.200000   -0.072007 
  61.000000  275.000000    1.380876    0.006491 -130.429688 -135.000000   -0.327033 
  62.000000  276.000000    1.386502    0.005627 -130.253906 -136.800000   -0.511551 
  63.000000  277.000000    1.392163    0.005661 -130.166016 -138.600000   -0.664566 
  64.000000  278.000000    1.397711    0.005548 -130.166016 -140.400000   -0.813081 
  65.000000  280.000000    1.403199    0.005488 -133.242188 -144.000000   -1.105611 
  66.000000  281.000000    1.408678    0.005479 -136.054688 -145.800000   -0.787579 
  67.000000  282.000000    1.414157    0.005479 -140.273438 -147.600000   -0.558056 
  68.000000  283.000000    1.419637    0.005480 -144.492188 -149.400000   -0.178518 
  69.000000  284.000000    1.425138    0.005501 -148.447266 -151.200000    0.019502 
  70.000000  285.000000    1.430615    0.005478 -151.347656 -153.000000    0.163516 
  71.000000  286.000000    1.436091    0.005475 -153.632812 -154.800000    0.118512 
  72.000000  287.000000    1.441566    0.005475 -154.775391 -156.600000    0.079508 
  73.000000  288.000000    1.447040    0.005474 -155.126953 -158.400000   -0.123012 
  74.000000  289.000000    1.452531    0.005492 -155.126953 -160.200000   -0.346535 
  75.000000  291.000000    1.458008    0.005476 -154.863281 -163.800000   -0.693069 
  76.000000  292.000000    1.463483    0.005476 -154.775391 -165.600000   -0.877588 
  77.000000  293.000000    1.468958    0.005475 -156.445312 -167.400000   -1.038104 
  78.000000  294.000000    1.474435    0.005477 -159.257812 -169.200000   -0.825083 
  79.000000  295.000000    1.479927    0.005493 -163.388672 -171.000000   -0.595560 
  80.000000  296.000000    1.485402    0.005475 -168.310547 -172.800000   -0.235524 
  81.000000  297.000000    1.490879    0.005477 -171.123047 -174.600000    0.124512 
  82.000000  298.000000    1.496356    0.005477 -173.847656 -176.400000   -0.064506 
  83.000000  299.000000    1.501833    0.005477 -176.308594 -178.200000   -0.000000 
  84.000000  300.000000    1.507309    0.005476 -177.626953 -180.000000    0.019502 
  85.000000  301.000000    1.512786    0.005477 -178.154297 -178.200000   -0.168017 
  86.000000  303.000000    1.518273    0.005487 -179.208984 -174.600000    0.468047 
  87.000000  304.000000    1.523748    0.005475 -180.000000 -172.800000    0.798080 
  88.000000  305.000000    1.529220    0.005472 -180.000000 -171.000000    1.026103 
  89.000000  306.000000    1.534697    0.005477 -178.417969 -169.200000    1.075608 
  90.000000  307.000000    1.540177    0.005480 -175.869141 -167.400000    0.891089 
  91.000000  308.000000    1.545656    0.005479 -171.738281 -165.600000    0.706571 
  92.000000  309.000000    1.551134    0.005478 -166.816406 -163.800000    0.312031 
  93.000000  310.000000    1.556612    0.005479 -163.300781 -162.000000   -0.048005 
  94.000000  311.000000    1.562090    0.005477 -160.048828 -160.200000   -0.009001 
  95.000000  312.000000    1.567589    0.005500 -156.972656 -158.400000   -0.094509 
  96.000000  314.000000    1.573066    0.005477 -154.687500 -154.800000    0.367537 
  97.000000  315.000000    1.578541    0.005475 -154.423828 -153.000000    0.202520 
  98.000000  316.000000    1.584054    0.005513 -154.335938 -151.200000    0.421542 
  99.000000  317.000000    1.589530    0.005476 -153.544922 -149.400000    0.586559 
 100.000000  318.000000    1.595028    0.005498 -152.050781 -147.600000    0.580558 
 101.000000  319.000000    1.600503    0.005475 -150.117188 -145.800000    0.516052 
 102.000000  320.000000    1.605977    0.005474 -148.095703 -144.000000    0.450045 
 103.000000  321.000000    1.611451    0.005473 -146.250000 -142.200000    0.421542 
 104.000000  322.000000    1.616925    0.005475 -143.964844 -140.400000    0.441044 
