       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000014    0.000001    0.000000    0.005115    0.005115    0.000000    0.000000   -0.000424   -0.000000   -0.000000   -0.000424
   1.000000    0.005276    0.005261    0.000000    1.899255    1.899255    0.009993  360.000000   -0.157351   -0.000559   -0.232200   -0.390110
   2.000000    0.010422    0.005146    0.000000    3.751755    3.751755    0.029299  360.000000   -0.310829   -0.001638   -0.232200   -0.544667
   3.000000    0.015563    0.005142    0.439453    5.602725    5.163272    0.055846  274.529606   -0.427772   -0.003122   -0.177072   -0.607966
   4.000000    0.020688    0.005125    1.230469    7.447725    6.217256    0.087710  205.655488   -0.515093   -0.004904   -0.132648   -0.652645
   5.000000    0.025801    0.005113    2.548828    9.288300    6.739472    0.122167  102.140687   -0.558358   -0.006830   -0.065881   -0.631069
   6.000000    0.030917    0.005116    3.779297   11.130135    7.350838    0.159775  119.495996   -0.609010   -0.008933   -0.077075   -0.695017
   7.000000    0.036030    0.005113    5.097656   12.970935    7.873279    0.200034  102.172205   -0.652293   -0.011183   -0.065901   -0.729378
   8.000000    0.041147    0.005117    6.943359   14.812995    7.869636    0.240301   -0.712012   -0.651991   -0.013435    0.000459   -0.664967
   9.000000    0.046262    0.005115    9.580078   16.654365    7.074287    0.276486 -155.495901   -0.586098   -0.015457    0.100295   -0.501260
  10.000000    0.052673    0.006411   13.359375   18.962340    5.602965    0.312407 -229.498068   -0.464200   -0.017466    0.148026   -0.333640
  11.000000    0.057897    0.005224   16.171875   20.842935    4.671060    0.336808 -178.393434   -0.386993   -0.018830    0.115064   -0.290759
  12.000000    0.063135    0.005238   18.105469   22.728705    4.623236    0.361025   -9.129719   -0.383031   -0.020184    0.005889   -0.397326
  13.000000    0.068421    0.005286   18.896484   24.631530    5.735046    0.391339  210.345867   -0.475143   -0.021879   -0.135673   -0.632694
  14.000000    0.073701    0.005280   19.599609   26.532375    6.932766    0.427944  226.835539   -0.574373   -0.023925   -0.146309   -0.744607
  15.000000    0.079061    0.005360   22.236328   28.462050    6.225722    0.461316 -131.906051   -0.515795   -0.025791    0.085079   -0.456506
  16.000000    0.084277    0.005216   25.136719   30.339765    5.203046    0.488454 -196.069811   -0.431067   -0.027308    0.126465   -0.331910
